qiskit,linear,linear_reduced,shp_reduced,mst_reduced,shp,mst,random,random_reduced,graycode_reduced,qiskit_dense,multiedge_dense,multiedge,average_degree
1013,2497,112,96,110,2473,2468,2503,159,120,130,296,100,0.0
1013,2491,124,87,99,2473,2471,2503,125,111,112,308,116,0.0
1013,2490,121,94,88,2471,2466,2497,129,99,95,307,107,0.2
1013,2471,87,74,90,2467,2459,2494,147,88,140,322,117,0.0
1013,2498,104,101,120,2478,2476,2526,171,93,101,328,109,0.2
1013,2482,97,74,88,2472,2466,2500,154,113,127,378,115,0.0
1013,2500,159,96,87,2472,2470,2510,129,110,102,352,126,0.0
1013,2488,103,107,93,2475,2472,2493,133,108,112,333,126,0.0
1013,2492,98,74,88,2469,2464,2497,138,80,120,295,110,0.2
1013,2499,121,105,127,2481,2476,2498,131,141,101,290,115,0.0
1013,2498,133,91,109,2478,2471,2489,145,102,118,311,119,0.0
1013,2473,97,101,97,2466,2458,2488,156,105,110,301,98,0.2
1013,2491,103,96,91,2471,2469,2502,160,113,93,328,124,0.2
1013,2481,108,100,118,2475,2468,2496,117,108,135,317,133,0.0
1013,2504,131,86,107,2479,2476,2504,134,122,113,333,108,0.0
1011,2489,107,92,77,2466,2458,2486,119,93,101,332,124,0.2
1013,2498,110,117,102,2472,2465,2489,132,166,110,331,127,0.0
1013,2507,126,98,99,2475,2473,2501,145,112,122,337,108,0.0
1013,2491,121,76,114,2468,2465,2498,120,102,89,260,99,0.0
1013,2478,100,84,112,2461,2454,2486,113,104,86,293,108,0.6
1013,2485,104,93,93,2477,2468,2490,125,104,109,320,127,0.0
1013,2497,132,100,122,2479,2472,2502,139,119,95,323,126,0.0
1013,2487,143,83,85,2472,2468,2504,156,112,125,313,112,0.0
1013,2477,99,92,81,2468,2465,2494,146,90,101,274,115,0.0
1013,2480,113,81,95,2471,2466,2481,116,95,110,342,124,0.0
1013,2491,107,89,94,2470,2470,2487,138,114,115,328,119,0.0
1013,2482,139,70,74,2465,2460,2489,132,115,154,357,150,0.0
1013,2479,106,98,92,2475,2466,2490,169,128,108,380,129,0.2
1013,2491,109,87,87,2471,2466,2501,121,113,97,317,103,0.0
1013,2483,97,81,90,2467,2465,2494,121,109,106,332,131,0.2
1013,2469,72,70,87,2464,2459,2476,158,99,113,282,119,0.0
1013,2486,121,68,82,2463,2457,2485,144,95,91,285,125,0.2
999,2487,111,79,77,2463,2458,2491,123,113,101,293,98,0.0
1013,2488,110,101,88,2466,2459,2499,122,131,116,270,106,0.0
1011,2477,124,83,95,2467,2466,2490,149,111,98,306,110,0.0
1013,2481,103,99,104,2474,2466,2481,153,89,112,263,108,0.4
1013,2503,137,89,86,2467,2458,2513,170,102,116,330,108,0.2
1013,2479,97,104,88,2471,2459,2492,140,118,102,330,125,0.0
1005,2497,118,89,99,2474,2466,2504,137,91,111,285,117,0.2
1013,2493,120,90,96,2478,2475,2504,147,105,107,316,102,0.0
1013,2474,154,58,104,2460,2457,2486,168,81,99,282,100,0.4
1013,2486,103,85,84,2468,2463,2496,127,128,104,366,101,0.2
1013,2480,116,93,90,2476,2469,2493,120,113,112,342,113,0.0
1009,2487,141,90,95,2465,2463,2499,156,102,120,339,94,0.0
1013,2504,112,96,87,2476,2468,2501,130,131,115,291,111,0.0
1013,2484,93,76,96,2473,2469,2493,147,97,118,312,105,0.2
1013,2481,86,91,114,2478,2473,2501,105,149,120,295,130,0.0
1013,2497,112,82,71,2471,2470,2493,127,111,105,317,120,0.0
1013,2496,113,93,118,2478,2472,2504,154,128,121,335,116,0.0
1013,2477,102,98,91,2473,2466,2494,117,116,105,328,94,0.0
1013,2488,123,94,89,2469,2465,2491,124,122,113,325,104,0.2
1013,2491,133,70,113,2466,2467,2502,160,114,120,296,111,0.0
997,2499,126,91,103,2480,2476,2497,120,120,130,305,105,0.0
1013,2485,110,109,88,2474,2461,2499,188,128,99,350,118,0.2
1013,2475,82,89,103,2476,2463,2491,109,82,89,286,120,0.2
1013,2487,112,94,103,2472,2470,2504,138,114,101,331,111,0.0
985,2491,106,85,86,2471,2467,2494,136,104,114,311,107,0.2
1013,2489,114,82,94,2469,2468,2500,119,144,101,326,130,0.0
1013,2477,104,72,73,2463,2460,2493,108,116,94,302,103,0.4
1013,2486,106,102,92,2466,2461,2496,120,118,110,297,100,0.0
1013,2491,126,91,108,2473,2467,2495,147,112,122,301,123,0.0
1013,2488,127,78,84,2463,2455,2493,132,91,114,340,103,0.2
1013,2482,119,81,92,2464,2462,2494,123,101,128,289,114,0.0
1013,2502,118,73,91,2478,2473,2507,115,96,105,321,115,0.0
1013,2490,97,92,92,2476,2469,2481,132,101,121,302,109,0.0
1013,2492,116,94,84,2468,2465,2494,132,118,136,311,105,0.2
1013,2486,118,87,84,2464,2461,2501,128,124,124,282,101,0.0
1013,2487,101,82,101,2468,2466,2486,144,112,118,301,105,0.0
1013,2485,97,93,98,2475,2471,2501,151,97,89,307,128,0.0
1013,2475,128,69,93,2455,2452,2475,123,110,100,275,110,0.4
1013,2481,97,84,92,2464,2460,2490,150,102,96,303,105,0.4
1013,2494,113,119,105,2485,2476,2513,119,110,120,313,105,0.0
1013,2493,123,80,96,2475,2466,2502,125,106,115,318,128,0.0
1013,2493,120,93,83,2466,2458,2489,149,105,99,344,116,0.2
1009,2497,111,88,103,2478,2470,2499,123,120,92,278,106,0.0
1013,2492,113,87,99,2475,2467,2489,153,144,88,309,124,0.0
1013,2478,105,89,97,2471,2466,2487,151,128,98,336,120,0.0
1013,2500,156,89,110,2476,2471,2501,137,129,134,363,109,0.0
1013,2482,108,83,89,2475,2468,2497,124,96,116,275,104,0.0
1013,2477,102,89,81,2469,2462,2478,139,108,97,311,130,0.2
1013,2475,109,56,65,2458,2455,2477,145,104,94,295,111,0.4
1013,2488,142,106,90,2470,2464,2495,131,110,89,285,117,0.2
1013,2486,102,89,106,2476,2462,2490,137,120,95,271,96,0.2
1009,2502,120,68,116,2466,2463,2496,144,103,105,286,122,0.0
1013,2477,91,87,100,2471,2465,2486,177,110,115,292,133,0.0
1013,2479,112,83,89,2468,2466,2499,151,99,121,297,110,0.0
1013,2492,100,105,96,2473,2471,2503,156,100,108,309,112,0.2
1013,2485,122,109,93,2476,2475,2510,151,103,114,295,112,0.0
1013,2486,105,85,98,2471,2469,2491,140,131,116,330,109,0.2
1013,2481,102,79,96,2475,2467,2489,114,93,126,305,117,0.2
1011,2487,118,88,95,2476,2464,2498,112,109,95,272,105,0.0
1011,2497,120,88,117,2481,2475,2491,142,119,92,310,110,0.0
1013,2482,140,118,112,2471,2461,2481,138,106,109,363,128,0.2
1013,2471,107,94,110,2467,2457,2476,136,99,150,360,116,0.2
1013,2476,89,99,113,2469,2463,2502,153,93,94,260,112,0.2
1013,2472,91,105,102,2474,2461,2483,144,111,110,316,110,0.0
1013,2481,104,85,80,2473,2469,2506,126,103,108,303,107,0.2
1013,2496,110,83,98,2475,2467,2499,114,103,132,282,102,0.0
1005,2482,119,80,86,2473,2466,2505,140,111,117,353,119,0.2
1013,2499,142,72,86,2463,2460,2486,130,110,107,306,118,0.0
1013,2487,119,81,91,2469,2468,2499,123,109,125,272,128,0.0
1013,2479,95,83,70,2466,2461,2511,183,91,85,288,146,0.2
1013,2490,129,68,79,2462,2459,2508,122,116,89,353,94,0.2
1013,2473,97,109,90,2464,2457,2502,131,89,85,316,121,0.2
1013,2479,117,86,113,2470,2466,2511,131,108,144,306,108,0.0
1013,2487,113,124,100,2471,2464,2494,145,113,105,297,117,0.2
1013,2478,90,90,71,2469,2460,2493,131,84,110,407,140,0.2
1009,2484,99,81,104,2466,2461,2489,117,102,108,316,126,0.0
1013,2481,84,94,101,2472,2470,2502,170,106,102,320,109,0.0
1013,2484,136,57,86,2459,2460,2483,165,147,99,303,115,0.2
1013,2473,91,84,84,2470,2462,2497,146,97,104,303,97,0.2
1011,2479,104,81,94,2472,2464,2490,123,91,92,323,114,0.2
1013,2511,128,108,107,2483,2476,2497,176,127,88,311,125,0.2
1013,2489,104,87,120,2470,2468,2498,136,101,97,284,115,0.2
1013,2482,116,83,102,2472,2465,2496,152,97,111,288,100,0.0
1013,2485,108,81,89,2467,2461,2493,146,109,105,331,115,0.0
1013,2479,104,91,92,2476,2465,2486,125,99,88,286,124,0.0
1013,2486,99,111,79,2466,2460,2492,163,107,112,257,98,0.4
1013,2486,140,82,97,2466,2464,2494,156,110,101,281,122,0.2
1013,2482,118,85,95,2473,2469,2506,159,93,93,294,117,0.0
1013,2499,109,93,92,2479,2472,2493,129,121,119,325,120,0.0
1013,2492,105,100,113,2475,2473,2491,134,108,92,318,106,0.0
1013,2474,98,72,88,2465,2460,2500,181,130,114,284,90,0.0
1013,2484,95,106,113,2479,2467,2495,127,107,113,354,118,0.2
1013,2483,109,85,97,2468,2460,2506,156,125,111,325,135,0.0
1013,2485,107,128,87,2476,2469,2484,108,109,142,323,108,0.2
1013,2481,159,118,104,2472,2461,2485,168,106,109,300,130,0.2
1013,2490,121,75,92,2464,2461,2495,133,109,93,341,113,0.2
1013,2477,137,76,79,2469,2462,2485,113,99,99,312,104,0.4
1013,2484,107,110,88,2475,2473,2492,131,106,120,303,132,0.0
1013,2470,86,84,98,2459,2458,2470,134,106,102,287,102,0.4
1013,2485,117,85,86,2469,2467,2503,143,92,136,303,128,0.0
