qiskit,shp_reduced,qiskit_dense,multiedge
2026,3961,5140,4931
2026,4408,5115,5218
2026,3922,5670,5229
2026,3930,4678,4900
2026,4072,5572,5178
2026,4265,5118,5766
2026,4238,5375,5248
2026,4190,5186,5474
2026,3859,5766,4963
2026,3920,5275,5153
2026,4015,5291,5157
2026,4106,5752,5216
2026,4376,5322,4662
2026,3875,5092,5083
2026,3898,5245,5035
2026,4185,5204,5219
2026,4158,5251,4845
2026,3958,5425,5235
2026,4430,5564,5020
2026,4001,5374,5193
2026,4160,5162,5060
2026,4214,5422,4751
2026,3876,5148,5359
2026,3913,5403,5124
2026,3683,5469,5407
2026,4472,5592,5128
2026,3737,5230,4769
2026,4200,5105,5343
2026,4005,4923,5434
2026,4219,5491,5124
2026,3903,5227,5239
2026,4157,5158,5303
2026,3925,4977,5143
2026,4045,5405,5485
2026,3771,5678,4825
2026,4164,5332,4687
2026,4095,5542,5089
2026,3960,5014,4750
2026,4170,5305,5179
2026,3943,4523,5423
2026,3982,5664,5100
2026,4023,4792,4961
2026,3952,4803,4835
2026,4074,5405,5053
2026,4406,5537,5365
2026,3933,5841,4869
2026,4100,5084,5173
2026,4260,5632,4898
2026,4157,5724,5484
2026,4295,5170,5342
2026,4082,5815,4998
2026,3988,5040,5147
2026,4298,5532,4939
2026,4035,5857,5156
2026,4325,5442,4922
2026,4282,5306,5450
2026,4077,5122,5142
2026,3929,5115,4773
2026,3997,5284,5437
2026,3710,5129,5160
2026,3866,5475,5093
2026,3985,5131,5847
2026,4021,5391,4998
2026,4122,5208,5001
2026,4046,4943,5058
2026,4058,5492,4981
2026,4084,5786,4894
2026,3863,5254,5113
2026,4192,5234,5214
2026,4253,5368,4899
2026,3749,5885,5040
2026,4058,5306,5240
2026,3958,5558,5064
2026,4214,5089,5369
2026,4350,5080,5606
2026,3884,5310,5215
2026,4129,5309,5248
2026,4025,5242,5259
2026,3799,5207,4981
2026,3946,5685,5141
2026,3989,5382,4986
2026,3938,5156,5293
2026,4273,5994,4886
2026,3922,6021,5214
2026,4243,5453,4974
2026,3864,5235,5133
2026,4078,5499,5510
2026,3938,5896,4904
2026,4116,5585,4832
2026,4151,5032,5489
2026,3905,5532,5136
2026,3796,5523,5326
2026,4343,5347,5257
2026,4059,5339,5386
2026,4130,5911,5297
2026,3740,5480,5419
2026,4057,4985,5077
2026,4278,5267,4820
2026,3849,5352,4660
2026,3893,5115,5084
2026,3746,5556,5155
2026,4608,5340,5250
2026,3864,5487,5074
2026,4186,5297,5617
2026,3857,5639,5272
2026,4088,6059,5661
2026,4218,4995,4936
