qiskit,shp_reduced,shp,random,random_reduced,mst,mst_reduced,linear,linear_reduced,graycode_reduced,qiskit_dense,multiedge_dense,multiedge
2036,117,3241,3272,154,3236,101,3251,116,124,118,374,138
2036,140,3234,3265,185,3226,112,3256,137,167,142,373,171
2036,102,3237,3279,152,3233,91,3253,116,140,121,477,111
2036,87,3232,3294,160,3228,93,3255,122,128,123,333,145
2036,93,3240,3252,193,3228,118,3246,112,138,113,372,122
2036,110,3251,3271,146,3241,118,3265,132,137,131,332,130
2036,132,3245,3272,175,3234,123,3261,135,151,108,323,153
2036,108,3228,3275,157,3221,108,3251,121,102,130,334,145
2036,116,3242,3267,161,3227,120,3260,132,129,152,325,146
2036,84,3234,3281,192,3230,94,3258,126,139,140,361,128
2036,127,3253,3270,149,3240,127,3272,135,124,147,350,143
2036,108,3243,3276,159,3234,103,3275,173,143,135,334,145
2036,103,3245,3289,147,3240,115,3267,145,124,139,387,138
2036,125,3251,3280,181,3242,123,3279,140,128,143,388,156
2036,120,3248,3270,155,3237,127,3267,145,121,150,412,124
2036,95,3240,3272,182,3236,116,3253,119,120,143,352,146
2036,118,3243,3277,198,3236,107,3278,186,137,136,425,107
2036,108,3240,3276,149,3241,121,3265,126,120,137,362,130
2036,87,3233,3284,178,3235,108,3259,131,124,133,379,135
2036,87,3233,3277,151,3231,112,3265,121,152,137,346,150
2036,110,3242,3285,150,3232,105,3271,124,118,141,309,122
2036,72,3230,3266,189,3217,80,3242,114,129,102,380,138
2036,90,3232,3284,180,3226,128,3254,163,100,106,306,149
2036,100,3235,3274,143,3229,119,3262,143,169,112,370,138
2036,105,3240,3266,170,3221,102,3262,136,126,154,341,118
2026,91,3236,3280,150,3223,98,3269,120,107,131,343,136
2036,114,3249,3271,126,3237,137,3267,113,110,152,330,148
2036,120,3234,3269,165,3229,121,3245,99,107,141,303,135
2036,117,3249,3284,172,3236,113,3263,150,131,136,368,129
1974,118,3246,3264,185,3234,149,3244,108,123,122,321,123
2036,86,3241,3291,181,3235,103,3263,157,114,119,365,139
2036,117,3239,3259,159,3227,114,3248,116,119,144,304,143
2036,97,3236,3280,162,3230,116,3264,123,109,125,340,140
2036,108,3247,3276,156,3240,129,3277,154,153,130,320,132
1988,89,3234,3280,197,3232,125,3248,134,140,150,353,115
2036,102,3244,3267,175,3237,109,3269,156,138,143,322,155
2036,100,3236,3264,172,3228,116,3251,134,117,122,349,174
1920,133,3242,3273,163,3228,124,3266,149,123,105,364,139
2036,86,3240,3266,159,3234,98,3265,171,125,136,365,155
2036,110,3239,3279,183,3238,110,3269,139,127,128,343,122
2036,106,3239,3279,159,3232,108,3260,168,130,98,362,139
2036,84,3235,3260,138,3231,100,3249,107,82,119,332,141
2036,106,3242,3275,175,3236,114,3264,151,116,111,339,141
2036,113,3245,3270,172,3236,107,3259,126,136,140,348,134
2036,97,3244,3273,144,3237,113,3272,136,120,169,344,164
2036,100,3233,3282,136,3231,112,3253,121,130,137,337,144
2036,98,3242,3259,145,3236,115,3262,139,112,113,373,138
2036,110,3245,3257,171,3239,109,3267,161,140,146,346,155
2036,87,3231,3260,150,3229,103,3266,171,132,116,396,151
2036,132,3237,3265,159,3230,131,3243,118,122,118,344,161
2036,102,3242,3278,153,3234,108,3247,107,117,145,385,132
2036,105,3240,3250,163,3229,126,3262,105,113,127,323,162
2036,92,3234,3262,149,3235,106,3257,134,123,113,389,133
2036,120,3251,3272,141,3236,131,3267,149,139,132,324,136
2036,98,3224,3258,122,3222,77,3243,118,142,113,321,107
2036,143,3236,3276,156,3222,113,3260,136,135,148,356,121
2036,126,3242,3276,188,3234,122,3248,131,146,137,399,135
2036,140,3246,3272,162,3241,125,3254,120,127,138,343,143
2036,127,3250,3278,171,3247,119,3270,137,140,130,355,133
2036,101,3235,3267,143,3233,111,3258,130,109,126,372,144
2036,108,3246,3281,182,3233,115,3247,120,118,147,307,159
2036,136,3240,3272,176,3233,121,3255,151,144,134,339,137
2036,116,3246,3275,143,3233,115,3259,134,120,140,402,149
2036,96,3231,3279,133,3224,87,3246,137,100,135,328,116
2036,92,3243,3262,160,3231,94,3258,142,138,115,308,161
2036,113,3246,3272,180,3231,123,3259,149,135,130,360,136
2036,108,3243,3275,122,3235,108,3275,160,128,141,325,137
2036,106,3241,3279,158,3235,124,3258,120,109,137,346,142
2036,123,3250,3258,128,3241,114,3263,124,142,116,372,123
2036,95,3240,3269,155,3237,114,3267,144,124,151,397,136
2036,99,3231,3268,160,3230,119,3252,129,116,132,426,147
2036,106,3230,3269,182,3223,110,3253,137,108,106,320,174
2036,113,3240,3267,153,3233,122,3263,139,139,132,332,126
2036,110,3242,3271,158,3235,92,3282,138,145,133,323,165
2036,95,3238,3264,145,3228,98,3248,144,119,119,330,126
2036,108,3239,3263,165,3230,115,3259,126,118,142,327,139
2036,119,3247,3280,163,3242,110,3289,146,129,150,354,132
2036,84,3230,3267,161,3223,104,3238,95,165,163,323,143
2036,120,3242,3276,174,3232,115,3258,143,137,160,368,144
2036,130,3245,3272,167,3240,110,3254,123,139,113,322,153
2036,106,3231,3262,152,3228,101,3243,123,109,126,299,162
2036,97,3240,3258,179,3232,105,3261,168,171,138,341,159
2036,98,3244,3284,171,3238,99,3274,147,147,153,345,127
2036,136,3239,3262,173,3231,127,3259,163,119,150,322,146
2036,109,3235,3278,166,3229,102,3260,128,141,134,334,151
2036,123,3248,3260,168,3233,110,3275,168,145,122,329,102
2036,72,3225,3292,175,3225,93,3255,130,141,143,393,134
2036,100,3244,3270,167,3236,94,3270,133,111,117,334,151
2036,116,3246,3244,186,3238,145,3256,133,139,146,380,135
2036,108,3242,3271,152,3230,109,3261,157,153,139,397,121
2036,126,3243,3271,139,3232,117,3261,138,115,134,355,143
2036,117,3242,3287,166,3235,88,3266,137,122,121,325,147
2036,109,3247,3276,163,3244,152,3273,144,143,142,337,162
2030,92,3235,3266,188,3229,98,3258,108,134,136,350,122
2036,109,3243,3258,172,3229,118,3263,130,97,128,316,157
2036,133,3256,3266,146,3245,128,3264,126,143,131,354,132
2036,96,3232,3257,163,3228,104,3249,133,161,132,336,138
2036,91,3235,3297,160,3234,95,3263,139,131,140,352,127
2036,106,3241,3278,173,3235,92,3244,99,125,155,327,135
2036,95,3242,3270,156,3232,82,3266,126,138,139,415,144
2036,100,3242,3279,184,3242,121,3257,123,139,135,343,159
2036,108,3245,3280,155,3242,128,3257,124,135,141,352,139
2036,124,3249,3269,145,3235,124,3257,132,122,141,332,128
1946,117,3242,3272,153,3229,108,3256,120,105,119,372,145
1962,115,3248,3276,168,3246,126,3261,128,118,139,316,148
2036,105,3235,3268,170,3235,105,3254,116,135,122,324,115
2036,119,3254,3272,151,3245,126,3262,124,126,131,339,145
2036,93,3238,3273,155,3237,108,3260,154,103,138,317,140
2036,140,3253,3278,140,3242,124,3254,111,159,140,345,117
2036,136,3236,3255,160,3225,135,3244,128,113,107,323,169
2036,107,3240,3281,152,3238,105,3255,113,128,128,332,128
2036,86,3244,3276,181,3236,113,3258,116,134,138,320,127
2036,95,3239,3259,189,3234,114,3262,122,160,132,353,143
2036,111,3247,3264,157,3243,130,3248,114,137,134,335,132
2036,101,3247,3284,181,3238,110,3252,122,145,165,417,128
2036,102,3235,3265,186,3225,98,3262,161,136,149,326,121
2036,104,3240,3277,196,3228,100,3266,131,134,151,347,153
2036,110,3247,3281,191,3243,138,3271,136,126,117,429,125
2036,100,3244,3291,163,3236,101,3263,141,128,144,318,128
2036,129,3254,3269,167,3242,122,3275,163,143,143,366,159
2036,109,3246,3283,170,3239,116,3266,119,122,156,334,143
2036,112,3245,3276,159,3244,131,3273,134,109,121,332,139
2036,108,3245,3266,131,3234,111,3267,164,141,124,353,137
2036,111,3236,3280,184,3233,131,3271,170,137,118,333,157
2036,109,3243,3275,169,3230,108,3258,120,115,116,342,153
2036,108,3242,3288,191,3234,104,3260,139,129,109,337,132
2036,144,3244,3273,161,3243,112,3297,146,133,164,341,136
2036,135,3253,3291,138,3246,124,3278,145,150,137,338,131
2036,119,3243,3279,151,3237,113,3267,133,117,123,374,148
2036,119,3247,3256,150,3237,125,3269,136,136,117,357,147
2036,82,3230,3282,183,3228,105,3250,128,98,133,309,148
2036,97,3238,3273,194,3229,105,3269,154,164,107,325,134
2036,153,3239,3267,165,3231,105,3256,120,120,139,343,132
2036,99,3242,3265,170,3229,82,3262,133,112,134,346,134
2036,120,3253,3284,177,3240,117,3285,152,162,169,350,173
2036,98,3232,3252,156,3226,108,3251,142,119,119,339,112
2036,112,3245,3264,168,3233,92,3259,104,100,110,322,120
2036,100,3250,3273,177,3239,119,3264,153,156,123,365,123
2036,80,3235,3255,153,3227,116,3240,140,118,137,320,121
2036,114,3239,3272,165,3228,95,3253,114,120,146,389,148
2036,137,3250,3269,187,3244,131,3271,138,149,156,340,158
2036,156,3249,3260,147,3234,125,3263,126,133,140,356,150
2036,116,3240,3249,126,3234,124,3258,113,129,123,374,123
2036,107,3236,3267,169,3231,116,3260,147,122,138,430,130
2036,109,3241,3258,219,3233,93,3252,98,152,149,337,136
2036,119,3241,3266,165,3238,104,3280,162,157,162,355,145
2036,127,3252,3251,164,3237,119,3259,124,131,157,327,145
2036,120,3248,3273,155,3244,125,3263,126,142,127,376,134
2036,113,3239,3263,160,3227,100,3250,115,129,120,334,118
2036,136,3257,3272,133,3235,117,3260,112,129,124,376,142
2036,106,3240,3270,155,3232,114,3255,137,93,142,329,150
2036,108,3248,3279,147,3236,121,3258,167,103,153,359,142
2020,115,3240,3260,227,3227,137,3245,120,131,124,345,156
2036,121,3249,3269,150,3238,116,3251,117,128,140,294,130
2036,104,3235,3272,166,3228,122,3262,140,115,153,315,122
2036,93,3240,3272,146,3234,113,3263,136,122,145,347,135
2036,97,3239,3255,154,3235,110,3263,134,113,115,337,162
2036,104,3239,3294,164,3235,116,3263,130,173,135,378,137
2036,131,3248,3280,186,3245,128,3262,128,120,157,331,159
2036,106,3242,3272,149,3230,114,3257,123,123,116,380,125
2036,116,3248,3279,233,3236,125,3267,127,141,143,329,141
2036,82,3234,3274,175,3228,120,3246,112,137,113,325,141
2036,103,3247,3272,154,3238,134,3275,181,158,124,327,127
2036,95,3229,3256,156,3222,91,3240,141,130,127,374,131
2024,109,3244,3289,163,3235,119,3267,139,143,160,334,159
2036,101,3240,3272,198,3228,102,3263,139,118,150,353,141
2036,119,3244,3277,188,3233,129,3259,154,142,116,350,127
2036,121,3253,3272,150,3243,123,3274,130,154,122,354,138
2016,87,3229,3270,171,3226,86,3256,127,125,140,357,127
2036,96,3234,3278,152,3227,104,3267,134,117,141,339,125
1936,116,3240,3272,198,3238,122,3283,200,153,149,315,135
2036,108,3241,3265,173,3237,99,3256,108,128,147,329,156
2036,99,3237,3280,156,3231,97,3265,139,141,157,375,123
2036,101,3234,3258,197,3229,111,3252,116,143,118,303,124
2036,112,3238,3264,158,3232,120,3248,124,112,99,333,144
2036,114,3252,3292,176,3245,123,3276,148,146,142,335,145
2036,103,3236,3272,158,3227,105,3252,128,160,111,326,138
2036,106,3246,3279,139,3240,120,3266,143,122,135,360,129
