qiskit,mhs_linear,mhs_nonlinear,merging_states
2036,3127,2514,2775
2036,3171,2271,2701
2036,3007,2660,2752
2036,3288,2820,2610
2036,2741,2674,2638
2036,3981,2437,2724
2036,3351,2366,2625
2036,3553,2782,2831
2036,3135,2618,2704
2036,3756,2598,2776
2036,3282,2561,2694
2036,3180,2578,2824
2036,3063,2502,2777
2036,3043,2839,2773
2036,3503,2448,2696
2036,3464,3000,2736
2036,3630,2650,2680
2036,3508,2841,2793
2036,3454,2503,2825
2036,3940,2525,2687
2036,3437,2534,2600
2036,3085,2617,2452
2036,2993,2615,2729
2036,2899,2734,2560
2036,3191,2767,2799
2036,2952,2484,2784
2036,3244,2700,2769
2036,3515,2554,2690
2036,2822,2511,2671
2036,3359,2722,2711
2036,3168,2549,2672
2036,3350,2510,2876
2036,3282,2692,2738
2036,3121,2623,2777
2036,2934,2535,2773
2036,3288,2866,2803
2036,3100,2464,2628
2036,3243,2739,2733
2036,2948,2646,2741
2036,3564,2576,2700
2036,3747,2739,2665
2036,3288,2885,2677
2036,3378,2436,2615
2036,3447,2957,2873
2036,3515,2932,2630
2036,3562,3046,2666
2036,2853,2701,2802
2036,2991,2831,2669
2036,3201,2600,2713
2036,3049,2480,2809
2036,3264,2668,2681
2036,3117,2801,2767
2036,2550,2506,2405
2036,3518,2617,2584
2036,2939,2862,2858
2036,3096,2650,2841
2036,3130,2760,2688
2036,3058,2579,2667
2036,3300,2693,2722
2036,3035,2814,2518
2036,3184,2661,2576
2036,3211,2624,2683
2036,3215,2883,2702
2036,3422,2759,2685
2036,2960,2426,2665
2036,2984,2463,2699
2036,3176,2663,2759
2036,2901,2777,2762
2036,2968,2441,2804
2036,2828,2678,2608
2036,3182,2473,2657
2036,3382,2518,2762
2036,3222,2902,2782
2036,2922,2552,2671
2036,3564,2642,2813
2036,2933,2510,2521
2036,3291,2541,2863
2036,3437,2680,2720
2036,2966,2624,2637
2036,2946,2530,2588
2036,3143,2846,2728
2036,2760,2976,2723
2036,3366,2941,2725
2036,3414,2690,2763
2036,3054,2705,2791
