shp_reduced,qiskit_dense,average_degree
134,180,0.16666666666666666
125,148,0.0
134,156,0.0
129,177,0.0
137,177,0.0
134,178,0.0
106,164,0.16666666666666666
120,196,0.3333333333333333
137,160,0.16666666666666666
108,162,0.0
130,189,0.0
146,193,0.0
145,161,0.0
133,199,0.0
140,180,0.0
135,172,0.0
128,179,0.0
134,167,0.0
128,201,0.0
132,170,0.0
120,178,0.0
106,166,0.0
124,176,0.0
137,171,0.0
107,168,0.16666666666666666
105,168,0.0
134,164,0.0
143,154,0.16666666666666666
138,163,0.0
140,178,0.0
116,167,0.16666666666666666
125,173,0.0
147,170,0.0
152,181,0.16666666666666666
118,195,0.0
140,175,0.0
123,174,0.0
149,173,0.16666666666666666
117,189,0.0
136,191,0.0
146,170,0.0
160,185,0.0
130,156,0.0
132,176,0.0
141,155,0.0
119,222,0.0
145,170,0.0
107,159,0.0
101,182,0.0
114,184,0.16666666666666666
104,157,0.0
143,168,0.0
169,178,0.0
122,166,0.0
128,178,0.0
139,198,0.0
107,172,0.0
152,182,0.0
136,172,0.0
119,192,0.0
149,179,0.0
125,186,0.0
122,166,0.0
98,171,0.0
143,169,0.0
141,174,0.0
97,156,0.0
98,176,0.0
122,171,0.0
125,171,0.0
128,167,0.0
105,174,0.5
139,168,0.0
105,156,0.0
173,205,0.0
98,150,0.0
121,168,0.16666666666666666
140,182,0.0
124,178,0.0
140,166,0.0
118,164,0.0
127,153,0.0
117,166,0.0
120,172,0.0
122,167,0.0
118,175,0.0
148,164,0.0
107,167,0.16666666666666666
122,192,0.0
122,164,0.0
125,156,0.0
133,170,0.0
131,174,0.0
113,164,0.0
130,196,0.0
115,177,0.0
119,166,0.0
131,176,0.0
135,182,0.16666666666666666
110,183,0.0
130,171,0.16666666666666666
116,163,0.0
138,145,0.0
133,167,0.0
111,156,0.0
127,175,0.0
107,179,0.0
114,137,0.0
131,192,0.0
139,195,0.0
117,195,0.0
136,176,0.16666666666666666
116,181,0.0
138,188,0.0
132,185,0.0
125,193,0.0
121,138,0.0
121,168,0.0
121,178,0.0
135,174,0.0
127,187,0.0
114,176,0.0
112,172,0.0
104,179,0.16666666666666666
133,160,0.0
151,156,0.16666666666666666
134,154,0.3333333333333333
114,195,0.0
110,178,0.0
146,162,0.0
130,188,0.16666666666666666
123,171,0.0
133,171,0.0
126,157,0.0
114,169,0.0
134,175,0.0
150,189,0.0
92,194,0.16666666666666666
142,150,0.0
108,176,0.0
150,170,0.0
110,168,0.0
116,158,0.0
111,162,0.0
125,164,0.0
161,195,0.0
107,185,0.16666666666666666
117,189,0.0
144,181,0.0
111,179,0.16666666666666666
121,154,0.0
105,156,0.0
112,176,0.16666666666666666
125,176,0.0
113,151,0.0
138,167,0.0
135,170,0.0
124,144,0.16666666666666666
132,173,0.0
125,145,0.0
95,160,0.0
126,224,0.16666666666666666
139,170,0.0
107,172,0.0
126,187,0.0
151,176,0.0
156,154,0.0
116,189,0.0
155,190,0.0
119,161,0.0
131,167,0.0
138,182,0.0
117,193,0.0
103,166,0.0
139,161,0.0
127,168,0.0
132,205,0.0
114,158,0.0
128,175,0.0
130,165,0.0
136,175,0.16666666666666666
125,177,0.0
131,192,0.0
116,207,0.0
117,164,0.0
106,180,0.0
114,177,0.0
141,166,0.0
135,178,0.0
129,180,0.16666666666666666
119,163,0.0
141,184,0.16666666666666666
130,166,0.0
122,149,0.0
136,151,0.16666666666666666
123,155,0.0
108,177,0.0
145,175,0.0
142,169,0.0
104,193,0.0
117,165,0.0
139,149,0.0
104,193,0.0
124,172,0.0
117,178,0.0
134,185,0.0
116,182,0.0
116,193,0.0
138,169,0.0
110,186,0.0
141,181,0.0
92,179,0.0
138,196,0.0
125,174,0.0
118,183,0.0
125,160,0.0
126,181,0.0
154,185,0.0
119,171,0.0
109,182,0.0
134,157,0.0
132,188,0.0
116,146,0.0
109,175,0.0
110,164,0.0
115,168,0.0
100,158,0.0
124,152,0.16666666666666666
100,163,0.0
117,151,0.0
163,213,0.0
109,190,0.0
135,173,0.0
146,177,0.0
117,142,0.3333333333333333
125,180,0.0
118,201,0.16666666666666666
139,172,0.16666666666666666
123,196,0.0
128,160,0.16666666666666666
119,190,0.0
123,193,0.0
125,183,0.0
121,192,0.0
143,185,0.0
125,202,0.0
124,164,0.0
121,172,0.0
106,150,0.0
122,171,0.16666666666666666
103,169,0.16666666666666666
118,201,0.16666666666666666
104,168,0.16666666666666666
101,162,0.16666666666666666
125,180,0.16666666666666666
130,171,0.0
111,155,0.0
122,165,0.0
112,185,0.16666666666666666
117,178,0.16666666666666666
141,180,0.0
146,200,0.0
118,172,0.0
135,161,0.0
133,171,0.0
129,149,0.0
130,162,0.0
147,201,0.0
117,166,0.0
135,183,0.0
121,171,0.16666666666666666
151,186,0.0
153,154,0.0
121,164,0.0
114,188,0.0
113,180,0.16666666666666666
157,189,0.0
137,142,0.0
132,181,0.0
131,141,0.0
113,187,0.0
141,164,0.0
120,155,0.16666666666666666
123,134,0.0
135,165,0.0
142,146,0.0
116,159,0.0
112,205,0.0
114,152,0.16666666666666666
138,180,0.0
116,168,0.0
147,196,0.0
134,190,0.0
119,157,0.0
122,195,0.0
122,149,0.0
161,171,0.0
111,167,0.0
121,160,0.16666666666666666
130,180,0.0
135,183,0.0
146,198,0.0
128,179,0.0
154,163,0.16666666666666666
132,167,0.16666666666666666
113,162,0.0
146,186,0.0
130,179,0.0
153,168,0.16666666666666666
120,186,0.16666666666666666
157,151,0.0
145,188,0.0
149,152,0.0
117,186,0.0
105,166,0.16666666666666666
166,199,0.0
134,170,0.16666666666666666
107,190,0.16666666666666666
126,194,0.0
129,181,0.0
126,158,0.0
134,176,0.0
120,204,0.0
169,167,0.16666666666666666
144,183,0.0
122,144,0.0
149,184,0.0
113,204,0.0
124,158,0.16666666666666666
117,159,0.16666666666666666
115,148,0.0
120,170,0.16666666666666666
120,148,0.16666666666666666
144,192,0.0
113,178,0.0
140,170,0.0
148,177,0.16666666666666666
