mhs_multi,merging_states,mhs_nonlinear
3460.0,3516.0,3352.0
3145.0,3669.0,3547.0
3168.0,3454.0,3646.0
3181.0,3645.0,3694.0
3473.0,3555.0,3597.0
3274.0,3545.0,3308.0
3421.0,3614.0,3250.0
3391.0,3516.0,3622.0
3549.0,3471.0,3227.0
3153.0,3385.0,3455.0
3637.0,3424.0,3449.0
3358.0,3525.0,3400.0
3240.0,3580.0,3615.0
3463.0,3574.0,3657.0
3382.0,3915.0,3610.0
3406.0,3460.0,3493.0
3285.0,3506.0,3384.0
3385.0,3407.0,3265.0
3435.0,3807.0,3399.0
3265.0,3557.0,3511.0
3432.0,3530.0,3897.0
3387.0,3477.0,3480.0
3191.0,3546.0,3714.0
3495.0,3440.0,3456.0
3468.0,3469.0,3270.0
3331.0,3532.0,3851.0
3601.0,3654.0,3468.0
3540.0,3668.0,3472.0
3425.0,3554.0,3486.0
3335.0,3329.0,3511.0
2943.0,3607.0,3362.0
3201.0,3478.0,3385.0
3140.0,3484.0,3483.0
3793.0,3634.0,3552.0
3518.0,3538.0,3385.0
3409.0,3429.0,3337.0
3471.0,3417.0,3326.0
3580.0,3425.0,3130.0
3800.0,3421.0,3373.0
3344.0,3519.0,3592.0
3635.0,3563.0,3523.0
3212.0,3503.0,3311.0
3144.0,3515.0,3269.0
3277.0,3322.0,3383.0
3414.0,3527.0,3772.0
3333.0,3455.0,3255.0
3693.0,3485.0,4361.0
3290.0,3512.0,3884.0
3561.0,3370.0,3148.0
3686.0,3519.0,3224.0
3419.0,3535.0,3379.0
3406.0,3568.0,3445.0
3200.0,3457.0,3286.0
3325.0,3447.0,3550.0
3317.0,3367.0,3039.0
3426.0,3546.0,3405.0
3266.0,3448.0,3246.0
3326.0,3420.0,3509.0
3603.0,3646.0,3581.0
3492.0,3499.0,3511.0
3708.0,3564.0,3325.0
3813.0,3561.0,3309.0
3473.0,3618.0,3416.0
3460.0,3509.0,3546.0
3344.0,3392.0,3540.0
3552.0,3513.0,3705.0
3513.0,3395.0,3568.0
3362.0,3520.0,4047.0
3547.0,3610.0,3292.0
3569.0,3587.0,3468.0
3391.0,3438.0,3988.0
3309.0,3520.0,3445.0
3557.0,3407.0,3836.0
3266.0,3298.0,3617.0
3406.0,3426.0,3207.0
3216.0,3549.0,3516.0
3462.0,3478.0,3422.0
3789.0,3762.0,3077.0
3392.0,3577.0,3211.0
3198.0,3504.0,3192.0
3385.0,3349.0,3313.0
3692.0,3382.0,3374.0
3465.0,3398.0,3682.0
3289.0,3574.0,3204.0
3627.0,3623.0,3797.0
3375.0,3601.0,3321.0
3713.0,3544.0,3476.0
3583.0,3296.0,3367.0
3395.0,3479.0,3471.0
3437.0,3659.0,3174.0
3305.0,3647.0,3245.0
3181.0,3420.0,3820.0
3337.0,3617.0,3327.0
3602.0,3526.0,3432.0
3437.0,3630.0,3776.0
3338.0,3585.0,3647.0
3381.0,3499.0,3408.0
3793.0,3648.0,3226.0
3474.0,3640.0,3227.0
3262.0,3451.0,3336.0
3154.0,3529.0,3758.0
3770.0,3465.0,3398.0
3708.0,3602.0,3972.0
3649.0,3442.0,3492.0
3403.0,3547.0,3538.0
3678.0,3479.0,3369.0
3435.0,3414.0,3365.0
3570.0,3516.0,4045.0
,3570.0,3788.0
,3424.0,3581.0
,3261.0,3253.0
,3409.0,3747.0
,3563.0,3431.0
,3437.0,3818.0
,3581.0,3292.0
,3655.0,3841.0
,3589.0,3524.0
,3739.0,3622.0
,3501.0,3730.0
,3422.0,3547.0
,3512.0,3601.0
,3302.0,3731.0
,3488.0,3298.0
,3518.0,3347.0
,3599.0,3359.0
,3526.0,3333.0
,3561.0,3467.0
,3382.0,3956.0
,3562.0,3417.0
,3502.0,3862.0
,3380.0,3762.0
,3509.0,3235.0
,3578.0,3711.0
,3506.0,3252.0
,3551.0,3404.0
,3606.0,3506.0
,3504.0,3640.0
,3702.0,3295.0
,3602.0,3748.0
,3541.0,3233.0
,3488.0,3433.0
,3632.0,3433.0
,3536.0,3368.0
,3562.0,3406.0
,3374.0,3318.0
,3423.0,3538.0
,3350.0,3282.0
,3560.0,3257.0
,3555.0,3844.0
,3531.0,3476.0
,3410.0,3528.0
,3381.0,3274.0
,3419.0,3493.0
,3558.0,3229.0
,3508.0,3257.0
,3420.0,3428.0
,3495.0,3466.0
,3437.0,3649.0
,3613.0,3770.0
,3440.0,3271.0
,3306.0,3174.0
,3687.0,3914.0
,3494.0,3951.0
,3400.0,3435.0
,3476.0,3724.0
,3439.0,3411.0
,3357.0,3595.0
,3503.0,3374.0
,3674.0,3531.0
,3718.0,3683.0
,3521.0,3807.0
,3322.0,3501.0
,3698.0,3464.0
,3619.0,3672.0
,3559.0,3421.0
,3518.0,3652.0
,3775.0,3355.0
,3866.0,3540.0
,3561.0,3098.0
,3391.0,3859.0
,3436.0,
,3290.0,
,3629.0,
,3595.0,
,3514.0,
,3503.0,
,3597.0,
,3443.0,
,3544.0,
,3510.0,
,3514.0,
,3474.0,
,3605.0,
,3476.0,
,3498.0,
,3628.0,
,3402.0,
,3679.0,
,3535.0,
,3500.0,
,3707.0,
,3670.0,
,3340.0,
,3344.0,
,3559.0,
,3486.0,
,3654.0,
,3608.0,
,3550.0,
,3345.0,
,3482.0,
,3515.0,
,3690.0,
,3628.0,
,3430.0,
,3610.0,
,3425.0,
,3505.0,
,3631.0,
,3614.0,
,3690.0,
,3516.0,
,3689.0,
,3399.0,
,3601.0,
,3462.0,
,3560.0,
,3589.0,
,3648.0,
,3445.0,
,3451.0,
,3668.0,
,3524.0,
,3513.0,
,3478.0,
,3625.0,
,3537.0,
,3658.0,
,3600.0,
,3524.0,
,3418.0,
,3498.0,
,3592.0,
,3397.0,
,3608.0,
,3373.0,
,3428.0,
,3589.0,
,3527.0,
,3489.0,
,3608.0,
,3605.0,
,3622.0,
,3535.0,
,3719.0,
,3488.0,
,3422.0,
,3702.0,
,3581.0,
,3606.0,
,3506.0,
,3320.0,
,3493.0,
,3412.0,
,3586.0,
,3525.0,
,3402.0,
,3757.0,
,3446.0,
,3649.0,
,3568.0,
,3445.0,
,3495.0,
,3470.0,
,3564.0,
,3514.0,
,3447.0,
,3408.0,
,3419.0,
,3512.0,
,3555.0,
,3622.0,
,3537.0,
,3565.0,
,3509.0,
,3601.0,
,3515.0,
,3670.0,
,3613.0,
,3697.0,
,3518.0,
,3599.0,
,3509.0,
,3428.0,
,3542.0,
,3507.0,
,3531.0,
,3644.0,
,3334.0,
,3555.0,
,3385.0,
,3673.0,
,3498.0,
,3725.0,
,3460.0,
,3594.0,
,3403.0,
,3572.0,
,3558.0,
,3493.0,
,3456.0,
,3419.0,
,3458.0,
,3561.0,
,3752.0,
,3478.0,
,3567.0,
,3671.0,
,3731.0,
,3707.0,
,3393.0,
,3513.0,
,3518.0,
,3533.0,
,3699.0,
,3600.0,
,3545.0,
,3624.0,
,3705.0,
,3529.0,
,3704.0,
,3858.0,
,3365.0,
,3536.0,
,3598.0,
,3628.0,
,3495.0,
,3504.0,
,3407.0,
,3356.0,
,3551.0,
,3556.0,
,3414.0,
,3633.0,
,3537.0,
,3495.0,
,3534.0,
,3421.0,
,3429.0,
,3316.0,
,3632.0,
,3560.0,
,3700.0,
,3466.0,
,3422.0,
,3602.0,
,3540.0,
,3515.0,
,3433.0,
,3539.0,
,3296.0,
,3592.0,
,3407.0,
,3553.0,
,3519.0,
,3378.0,
,3596.0,
,3534.0,
,3486.0,
,3387.0,
,3480.0,
,3508.0,
,3358.0,
,3422.0,
,3321.0,
,3335.0,
,3299.0,
,3584.0,
,3351.0,
,3641.0,
,3464.0,
,3315.0,
,3591.0,
,3466.0,
,3500.0,
,3313.0,
,3493.0,
,3568.0,
,3512.0,
,3591.0,
,3607.0,
,3440.0,
,3562.0,
,3608.0,
,3513.0,
,3514.0,
,3310.0,
,3547.0,
,3612.0,
,3491.0,
,3438.0,
,3532.0,
,3414.0,
,3566.0,
