qiskit,linear,linear_reduced,shp_reduced,mst_reduced,shp,mst
22,118,14,12,14,116,118
22,126,22,14,19,120,120
17,120,18,12,14,117,118
22,117,10,6,10,116,118
20,125,22,14,20,116,117
22,121,16,8,14,115,119
22,124,11,12,8,118,120
21,121,26,8,23,115,119
22,119,12,6,17,113,117
22,120,14,12,22,117,122
22,117,4,13,10,113,120
22,119,23,7,20,114,118
20,122,16,8,18,116,122
22,116,12,6,12,114,116
22,124,27,10,10,116,117
20,122,10,14,10,117,116
22,124,18,12,20,120,126
22,118,10,8,22,116,121
18,117,14,6,14,114,117
22,117,22,20,26,117,115
22,121,23,10,11,116,117
22,119,12,12,14,117,121
20,126,20,18,20,121,121
22,119,9,10,12,115,121
20,120,10,12,18,117,122
18,122,16,10,14,114,118
21,121,15,10,12,115,119
22,118,8,4,10,115,118
20,118,11,6,10,113,116
22,120,27,14,25,117,117
22,122,13,12,10,118,116
20,121,18,12,14,115,117
21,124,12,8,8,115,120
22,122,18,8,18,115,122
18,115,23,21,21,115,116
22,126,20,14,12,120,117
22,119,7,10,4,115,115
22,118,12,12,12,116,118
22,118,12,6,24,113,120
16,119,12,10,10,114,114
16,115,14,10,15,115,113
21,118,12,8,12,115,118
22,122,27,23,26,119,120
22,117,12,10,10,114,115
22,123,25,14,12,119,117
20,121,14,10,14,117,121
22,120,23,8,12,115,116
20,120,18,14,16,117,119
22,125,18,14,18,118,123
22,121,16,16,23,121,120
17,122,18,12,16,117,123
21,121,18,12,14,116,118
22,117,14,12,14,116,117
22,117,8,4,4,113,119
22,117,12,6,12,114,117
18,117,14,12,12,116,119
22,122,14,8,12,117,124
22,123,10,14,17,120,121
17,122,18,10,14,113,120
22,121,12,6,12,117,122
22,118,17,4,11,115,120
20,121,14,10,14,116,121
22,118,12,12,24,117,116
22,119,11,6,10,114,114
18,119,14,10,10,115,116
18,117,14,14,20,115,117
22,120,23,12,11,116,117
22,116,13,6,13,113,116
20,124,18,14,18,120,126
21,120,24,6,23,115,119
20,117,12,8,12,114,117
18,119,10,10,10,116,117
22,126,20,14,24,119,124
20,124,18,14,18,120,127
22,121,19,8,14,114,118
22,128,20,16,16,122,122
22,118,12,6,26,112,121
21,120,17,10,14,116,118
17,120,18,12,22,117,118
22,119,23,8,18,115,118
20,124,18,14,22,121,122
18,124,14,14,18,120,123
21,122,18,11,12,116,119
22,119,15,10,10,116,116
22,123,9,12,6,118,117
22,124,16,12,14,117,118
22,121,16,8,16,117,123
22,117,12,12,24,118,115
20,121,16,14,20,119,122
22,117,10,10,10,115,118
22,123,18,8,11,115,121
22,122,17,8,14,113,119
22,122,27,23,14,119,118
20,122,16,12,20,118,116
21,122,17,8,12,115,119
22,120,7,10,10,116,116
20,118,14,12,14,115,118
22,120,15,12,14,117,120
22,122,14,14,14,119,121
22,122,8,10,14,115,116
22,125,18,14,18,118,123
22,118,12,14,12,117,120
22,121,14,7,19,117,122
21,123,8,8,8,113,120
22,123,27,10,26,116,124
22,123,16,6,14,113,118
22,121,16,14,12,117,120
20,121,14,4,10,113,116
21,118,14,12,14,116,118
22,121,14,14,14,118,122
20,118,14,12,14,115,118
21,122,14,15,12,116,121
22,119,14,14,25,121,121
21,128,22,14,19,119,117
22,130,26,12,12,116,117
22,120,21,10,10,114,117
22,121,14,13,27,117,120
22,121,17,8,12,115,119
21,120,16,11,12,116,118
22,118,12,6,14,113,118
22,118,14,10,14,119,124
20,115,8,8,12,115,118
22,122,27,10,8,117,115
22,125,19,10,10,116,116
22,120,11,10,25,118,121
21,130,26,12,14,117,119
22,118,6,8,11,114,122
22,119,10,12,20,118,123
22,120,25,12,22,117,119
16,120,14,8,12,115,119
22,123,16,14,20,120,121
22,117,4,13,10,113,121
22,124,15,10,14,114,118
18,127,21,10,12,116,116
17,121,15,10,14,115,121
22,126,20,8,18,116,122
21,122,9,14,6,119,118
22,123,10,8,12,119,119
21,119,12,8,12,121,124
18,120,16,14,21,115,118
22,122,14,7,22,117,119
17,119,16,14,12,119,122
20,119,12,12,12,119,123
21,126,20,14,20,118,121
20,117,12,12,16,115,117
22,126,19,10,12,116,116
20,123,27,6,8,113,115
22,117,12,8,24,116,122
22,122,16,10,18,117,127
22,127,31,8,12,114,118
22,122,16,10,26,118,123
22,122,13,15,12,114,120
22,118,12,6,12,118,120
22,118,13,7,20,116,118
18,117,12,10,16,114,115
20,123,6,10,6,117,123
22,126,18,14,16,122,123
20,116,12,10,26,116,121
20,122,18,14,22,118,124
21,122,17,10,10,117,117
21,120,16,10,14,117,118
22,121,16,6,19,117,122
22,120,13,10,13,114,120
21,126,14,12,8,117,119
22,118,10,8,9,114,115
22,119,14,6,14,113,119
22,122,16,18,18,120,121
22,119,12,12,19,117,122
22,121,16,8,16,115,121
18,117,8,6,8,114,116
20,119,10,6,22,115,117
20,122,10,12,12,117,120
22,118,8,15,12,115,120
22,122,25,10,14,116,122
20,119,16,12,16,116,118
22,124,12,14,10,121,129
22,119,6,10,6,116,122
18,120,14,12,14,116,117
22,124,18,12,10,118,116
22,117,14,8,14,115,117
22,120,13,10,13,114,120
22,116,10,10,10,115,120
22,120,25,10,17,115,116
22,118,12,12,12,117,118
18,115,12,10,10,114,112
21,127,21,16,20,119,124
16,118,10,6,8,113,118
20,124,18,14,22,121,122
22,120,15,10,12,114,124
22,114,10,4,10,113,114
20,123,16,14,10,117,116
22,124,12,10,10,116,118
22,119,23,10,4,115,116
22,122,14,10,13,115,118
22,119,12,6,23,115,118
22,120,16,12,16,116,118
18,122,16,10,10,117,118
21,128,33,8,12,115,119
22,117,14,12,14,114,117
22,120,5,8,8,115,119
22,118,14,12,6,117,118
22,120,6,8,14,113,120
22,121,15,14,14,118,118
22,117,12,12,12,117,119
21,115,14,6,14,114,115
22,122,18,10,23,117,123
21,126,22,10,14,116,117
22,123,16,16,22,121,124
20,122,10,12,10,117,121
22,121,14,8,8,115,121
22,126,22,14,18,121,126
20,121,16,14,20,119,122
22,122,27,14,25,118,122
22,121,10,8,12,117,120
22,123,8,8,12,118,119
20,122,16,14,20,117,121
22,123,27,12,10,117,116
17,122,15,12,19,117,119
16,119,4,6,4,113,119
16,119,4,6,4,113,114
22,128,14,12,11,117,122
18,125,18,10,12,116,118
18,122,16,8,12,114,118
16,117,10,6,9,113,120
20,122,18,10,14,113,119
22,120,25,10,17,115,119
22,119,12,8,12,117,119
22,122,15,17,15,121,123
22,120,25,10,22,117,122
22,127,18,10,18,119,129
19,126,20,14,14,116,121
22,119,16,10,26,116,121
20,123,14,10,14,113,120
22,123,6,10,18,118,124
22,120,16,8,14,114,118
20,122,16,10,18,118,123
18,120,18,10,14,114,121
22,125,20,10,12,117,118
18,122,25,26,26,121,121
21,127,13,14,8,120,115
22,117,12,10,8,117,121
21,121,15,8,23,115,119
22,117,12,10,10,113,115
22,121,16,8,16,117,126
22,122,14,7,15,117,125
18,117,23,21,24,118,118
22,126,20,14,22,118,124
21,128,24,18,18,121,126
22,118,12,8,16,114,120
22,125,12,14,10,118,116
18,117,14,10,15,115,115
18,119,15,12,14,115,117
22,120,14,10,10,118,122
22,126,11,14,11,121,126
20,127,18,12,12,116,117
22,120,15,12,14,117,118
22,119,14,14,10,118,118
20,122,16,14,14,117,121
20,122,7,12,4,118,117
21,126,20,10,14,117,119
22,120,13,8,12,114,124
21,121,14,8,14,118,119
22,123,16,6,14,118,122
22,126,18,14,16,122,121
22,121,8,8,19,117,119
22,126,10,12,16,121,122
17,120,18,12,14,117,118
18,122,16,10,14,114,121
22,121,21,10,10,116,116
22,123,10,8,14,118,115
22,117,10,10,10,116,119
22,120,23,6,12,114,116
22,122,16,13,20,118,119
19,123,16,14,22,118,122
22,118,8,6,10,115,119
20,125,12,12,14,120,122
22,120,25,14,14,118,122
18,115,23,21,24,116,115
22,117,14,12,14,114,117
20,120,13,10,8,113,119
20,119,4,6,4,114,119
21,125,14,12,8,117,119
22,124,15,10,14,114,118
22,126,18,16,14,121,127
22,118,12,6,13,115,118
21,121,16,10,14,116,119
16,120,11,20,17,119,118
22,116,11,11,11,116,118
22,118,10,6,16,114,120
21,125,9,10,10,119,122
22,118,10,10,10,117,120
21,124,12,14,8,120,117
22,123,10,8,19,119,120
22,123,16,6,13,115,118
22,127,21,12,8,119,113
22,121,14,14,14,119,120
22,117,14,8,14,115,117
22,126,18,14,16,121,123
18,121,12,12,10,117,118
22,122,16,10,14,115,116
22,121,16,14,16,116,123
22,121,10,14,14,120,123
22,120,27,12,23,117,118
