qiskit,shp_reduced,multiedge,qiskit_dense,mhs_nonlinear,merging_states,mhs_nonlinear_alt,mhs_multi,test
26,424,300,26,227,301,237,99.0,
26,574,351,26,242,299,247,83.0,
26,469,325,26,263,300,229,62.0,
26,445,325,26,246,299,235,77.0,
26,546,327,26,244,301,230,101.0,
26,472,309,26,246,298,259,60.0,
26,481,282,26,229,301,251,96.0,
26,524,261,26,258,321,248,70.0,70.0
26,585,285,26,244,297,233,61.0,61.0
26,534,289,26,251,303,253,59.0,59.0
26,578,374,26,227,300,218,90.0,90.0
26,491,285,26,258,322,236,76.0,76.0
26,523,324,26,230,300,220,88.0,88.0
26,478,329,26,229,298,232,111.0,111.0
26,485,338,26,259,300,232,76.0,76.0
26,472,346,26,244,300,214,127.0,127.0
26,438,334,26,243,324,233,115.0,115.0
26,490,256,26,229,300,227,132.0,
26,412,324,26,258,299,231,68.0,68.0
26,478,299,26,244,300,250,66.0,66.0
26,549,331,26,243,302,203,60.0,60.0
26,504,390,26,228,300,234,97.0,97.0
26,451,333,26,260,300,220,111.0,111.0
26,470,275,26,246,325,234,93.0,93.0
26,510,291,26,244,298,251,91.0,91.0
26,519,314,26,210,302,206,75.0,75.0
26,456,306,26,241,299,210,110.0,110.0
26,525,302,26,229,300,226,76.0,76.0
26,445,295,26,210,299,252,77.0,77.0
26,441,284,26,241,298,250,69.0,69.0
26,491,340,26,228,303,235,123.0,123.0
26,519,390,26,274,301,220,68.0,68.0
26,502,340,26,246,302,226,63.0,63.0
26,416,335,26,244,296,266,96.0,96.0
26,470,396,26,243,299,219,60.0,60.0
26,455,316,26,228,302,247,84.0,84.0
26,508,284,26,231,323,244,79.0,79.0
26,476,286,26,227,326,273,78.0,78.0
26,487,369,26,246,301,248,65.0,65.0
26,592,332,26,260,300,228,65.0,65.0
26,511,349,26,226,300,216,99.0,99.0
26,459,360,26,246,299,221,128.0,128.0
26,423,316,26,242,298,212,85.0,85.0
26,545,348,26,228,300,216,95.0,95.0
26,531,290,26,260,296,206,68.0,68.0
26,528,298,26,231,301,237,105.0,105.0
26,446,325,26,241,300,208,56.0,56.0
26,436,359,26,243,298,248,111.0,111.0
26,470,323,26,241,324,254,96.0,96.0
26,492,330,26,242,325,236,56.0,56.0
26,552,375,26,261,298,230,73.0,73.0
26,513,291,26,246,302,235,89.0,89.0
26,522,290,26,229,301,236,93.0,93.0
26,488,259,26,242,297,214,62.0,62.0
26,537,285,26,212,296,212,73.0,73.0
26,446,288,26,243,298,233,84.0,84.0
26,431,367,26,227,303,234,60.0,60.0
26,438,326,26,228,301,216,68.0,68.0
26,473,283,26,244,300,232,100.0,100.0
26,519,307,26,212,325,211,103.0,103.0
26,423,295,26,245,300,234,76.0,76.0
26,463,324,26,262,300,233,75.0,75.0
26,502,322,26,229,298,226,99.0,99.0
26,522,290,26,229,299,219,89.0,89.0
26,602,287,26,244,299,239,91.0,91.0
26,504,347,26,244,302,251,85.0,85.0
26,517,307,26,246,300,214,88.0,88.0
26,487,320,26,242,299,224,58.0,58.0
26,588,303,26,229,298,245,58.0,58.0
26,484,267,26,228,326,234,56.0,56.0
26,531,358,26,246,300,240,96.0,96.0
26,448,278,26,243,301,227,58.0,58.0
26,454,355,26,243,297,243,68.0,68.0
26,468,303,26,243,300,253,75.0,75.0
26,531,293,26,241,297,212,65.0,65.0
26,493,367,26,260,298,207,91.0,91.0
26,452,324,26,219,296,218,101.0,101.0
26,476,296,26,262,300,258,83.0,83.0
26,466,275,26,229,295,217,121.0,121.0
26,512,301,26,244,302,239,110.0,110.0
26,491,301,26,260,299,219,80.0,80.0
26,556,308,26,227,300,231,81.0,81.0
26,522,328,26,258,321,253,81.0,81.0
26,540,304,26,242,300,252,71.0,71.0
26,477,289,26,242,303,207,80.0,80.0
26,478,326,26,247,326,226,111.0,111.0
26,457,284,26,280,301,219,109.0,109.0
26,490,301,26,239,299,208,82.0,82.0
26,524,318,26,243,299,229,87.0,87.0
26,458,335,26,215,303,221,66.0,66.0
26,467,299,26,225,326,253,79.0,79.0
26,530,257,26,241,303,237,93.0,93.0
26,426,280,26,243,299,226,60.0,60.0
26,487,292,26,242,320,236,73.0,73.0
26,448,350,26,229,301,249,84.0,84.0
26,528,331,26,231,301,225,71.0,71.0
26,484,379,26,229,300,252,65.0,65.0
26,459,295,26,241,299,239,87.0,87.0
26,528,291,26,244,300,248,75.0,75.0
26,421,284,26,245,298,230,83.0,83.0
26,454,382,26,245,304,245,67.0,
26,508,341,26,260,299,220,64.0,
26,552,300,26,214,323,226,107.0,
26,507,312,26,256,298,256,88.0,
26,493,298,26,216,296,232,91.0,
