qiskit,linear,linear_reduced,shp_reduced,mst_reduced,shp,mst,random,random_reduced,graycode_reduced,qiskit_dense,multiedge_dense,multiedge,average_degree,mhs_nonlinear,merging_states,mhs_nonlinear_2,mhs_nonlinear_basis
26,221,27,10,14,218,217,223,50,25,12,60,24,1.2,8,8,8,15
26,224,29,23,22,222,218,227,43,18,20,74,24,0.4,12,11,12,15
26,226,29,16,23,220,218,224,26,27,24,60,30,0.4,11,11,11,21
26,226,28,24,15,219,220,225,37,28,28,73,30,0.0,13,10,13,19
26,220,12,8,14,217,216,220,25,6,12,84,36,1.6,7,7,7,12
24,227,29,18,14,221,223,231,14,32,18,77,24,0.0,13,13,13,22
26,224,18,16,22,220,222,229,30,29,18,68,24,0.4,14,10,14,22
26,223,28,16,20,223,222,236,33,31,22,67,24,0.4,10,13,10,15
24,217,12,12,19,219,218,223,27,25,10,66,23,0.8,9,9,9,9
26,221,12,16,21,222,221,222,41,27,22,92,25,0.4,11,13,11,17
26,230,22,27,28,224,220,228,45,29,16,69,26,0.8,10,11,10,18
26,226,27,12,23,219,217,221,31,25,10,61,19,0.8,9,11,9,20
22,224,28,21,22,216,215,226,17,16,13,73,30,0.8,11,8,11,10
26,223,23,14,21,222,221,229,20,27,18,57,28,0.4,9,9,9,19
24,220,24,23,25,219,220,230,31,14,5,64,18,0.8,8,8,8,17
26,222,14,21,14,218,217,218,28,14,10,67,26,0.8,9,18,9,13
26,225,29,14,22,220,218,231,40,27,11,79,28,0.8,10,9,10,19
26,228,20,12,14,218,218,223,35,14,11,77,28,0.8,9,12,9,17
26,223,19,12,14,219,220,226,20,18,19,63,24,0.4,11,12,11,21
24,217,8,8,8,215,215,218,31,23,11,61,26,1.6,6,6,6,17
26,223,16,16,17,222,222,225,22,19,20,66,19,0.8,12,12,12,16
26,230,33,16,16,218,219,230,16,33,19,65,24,0.4,10,12,10,15
26,222,16,14,16,220,222,225,34,20,22,58,23,0.4,10,9,10,24
26,222,16,18,26,226,222,228,30,18,11,68,25,0.8,10,10,10,19
24,225,29,16,10,221,222,226,22,18,22,62,28,0.4,11,14,11,17
26,224,27,14,24,222,218,226,26,25,10,60,24,0.8,10,10,10,16
26,231,24,16,18,220,219,232,24,18,23,66,27,0.8,10,8,10,24
26,226,20,18,20,226,224,230,41,20,25,56,25,0.0,13,11,13,20
24,219,18,20,21,226,222,224,26,16,16,71,20,0.4,8,12,8,19
26,224,29,12,12,219,219,226,27,14,13,66,31,0.8,9,8,9,24
26,223,17,18,25,224,220,223,25,29,16,69,28,0.4,11,16,11,16
26,227,31,16,22,221,221,226,29,22,20,78,28,0.4,12,11,12,20
26,224,25,16,25,223,224,228,18,25,19,59,28,0.0,12,11,12,18
26,227,19,28,16,222,224,229,33,29,18,71,26,0.4,12,14,12,17
26,225,18,18,27,223,224,227,28,28,29,66,33,0.0,11,10,11,24
24,226,25,10,19,216,217,229,30,18,17,72,29,0.8,9,10,9,22
26,223,16,16,33,223,221,226,24,22,16,77,23,0.8,9,9,9,16
26,230,34,24,18,219,219,234,36,34,15,65,32,0.0,11,19,11,19
26,224,23,10,21,217,217,224,26,21,12,62,24,1.2,7,7,7,11
26,221,10,12,39,220,217,224,24,53,13,57,25,0.8,9,9,9,12
26,228,39,16,16,222,220,228,43,14,12,58,24,0.8,9,9,9,21
26,216,20,8,18,220,217,222,32,58,12,62,47,1.2,8,7,8,19
12,223,18,23,14,220,218,228,21,23,12,77,23,0.8,9,9,9,20
26,226,16,23,14,221,221,227,23,18,22,63,24,0.4,11,10,11,22
26,222,13,12,19,218,218,222,14,12,10,73,29,0.8,8,8,8,20
12,221,18,16,25,220,218,224,35,26,17,69,21,0.4,13,10,13,15
26,218,21,12,18,220,214,229,35,12,19,77,32,1.2,9,8,9,22
26,227,31,28,20,222,223,235,26,31,24,62,21,0.0,11,12,11,22
20,221,16,21,20,220,216,223,18,14,10,105,19,0.8,9,19,9,15
26,222,20,17,21,215,217,223,23,25,5,53,17,1.6,7,14,7,18
26,226,29,10,14,216,215,217,16,10,11,68,19,1.2,8,7,8,18
24,220,12,33,20,218,214,226,24,12,10,51,19,1.2,7,7,7,10
26,230,22,20,22,222,224,225,27,29,22,69,24,0.0,11,12,11,15
