qiskit,shp_reduced,multiedge,qiskit_dense,mhs_nonlinear,merging_states
57,849,634,57,420,480
57,769,881,57,384,474
57,1029,672,57,421,480
57,860,632,57,397,468
57,732,798,57,406,481
57,966,674,57,449,506
57,893,850,57,402,539
57,972,640,57,420,503
57,770,790,57,371,467
57,990,868,57,443,524
57,838,832,57,409,491
57,781,727,57,425,505
57,885,844,57,370,519
57,784,593,57,417,523
57,855,798,57,411,474
57,865,746,57,356,542
57,949,660,57,383,490
57,839,636,57,388,476
57,903,689,57,426,484
57,793,878,57,405,480
57,843,857,57,416,470
57,928,783,57,406,501
57,943,587,57,404,479
57,998,602,57,423,494
57,936,675,57,360,497
57,881,746,57,442,501
57,841,786,57,445,493
57,915,777,57,414,498
57,858,798,57,420,503
57,856,636,57,399,498
57,909,745,57,392,501
57,846,802,57,450,474
57,868,595,57,406,507
57,942,760,57,388,474
57,875,773,57,414,480
57,902,710,57,421,481
57,1026,657,57,419,476
57,929,800,57,381,498
57,845,835,57,407,501
57,900,867,57,411,500
57,753,734,57,423,497
57,806,659,57,400,477
57,924,555,57,432,500
57,865,713,57,394,505
57,777,635,57,419,473
57,878,733,57,392,473
57,900,764,57,370,467
57,936,800,57,368,475
57,928,723,57,360,504
57,1002,675,57,396,476
57,902,768,57,371,521
57,859,701,57,407,510
57,824,761,57,366,476
57,811,677,57,404,473
57,977,659,57,394,478
57,914,676,57,405,490
57,892,769,57,382,472
57,818,661,57,421,503
57,794,795,57,393,495
57,941,747,57,395,475
57,965,688,57,422,476
57,1036,732,57,421,474
57,884,681,57,408,484
57,875,638,57,359,539
57,1001,629,57,356,469
57,975,778,57,385,480
57,943,611,57,392,491
57,905,657,57,413,468
57,975,726,57,407,479
57,903,651,57,387,474
57,750,666,57,380,476
57,995,722,57,385,472
57,883,833,57,437,533
57,922,703,57,455,477
57,854,769,57,394,477
57,922,799,57,392,495
57,831,674,57,382,478
57,955,885,57,424,473
57,1007,722,57,408,475
57,893,647,57,406,476
57,889,718,57,405,476
57,860,670,57,404,478
57,974,810,57,407,505
57,776,696,57,372,527
57,942,776,57,418,508
57,910,639,57,407,470
57,859,820,57,409,523
57,923,816,57,398,503
57,925,799,57,391,503
57,925,822,57,444,471
57,899,693,57,375,523
57,956,704,57,388,469
57,907,699,57,406,504
57,913,663,57,404,481
57,871,884,57,396,493
57,963,733,57,420,497
57,915,782,57,391,475
57,1025,788,57,387,477
57,940,677,57,407,472
57,817,704,57,389,480
57,926,675,57,404,476
57,895,652,57,422,475
57,987,643,57,420,474
57,1032,739,57,388,507
57,997,736,57,409,476
57,938,791,57,403,477
57,831,656,57,404,496
57,934,699,57,407,472
57,827,700,57,391,499
57,865,703,57,393,471
57,898,672,57,374,496
57,870,667,57,392,492
57,806,718,57,405,475
57,890,682,57,433,482
57,980,848,57,422,470
57,900,682,57,392,480
57,870,757,57,408,479
57,877,768,57,409,476
57,837,657,57,406,503
57,817,738,57,453,496
57,1016,727,57,391,477
57,841,729,57,415,480
57,995,776,57,388,474
57,797,850,57,387,489
57,762,754,57,372,500
57,922,801,57,476,496
57,858,817,57,409,497
57,919,657,57,396,470
57,817,813,57,440,478
57,855,677,57,409,499
57,932,778,57,416,468
57,802,749,57,435,480
57,876,731,57,423,505
57,840,786,57,424,549
57,958,760,57,367,489
57,988,659,57,405,520
57,966,753,57,389,506
57,811,822,57,428,466
57,862,666,57,386,479
57,1065,570,57,392,477
57,944,705,57,373,479
57,1039,773,57,372,493
57,891,586,57,404,473
57,850,756,57,378,471
57,1033,729,57,378,478
57,805,618,57,408,473
57,832,583,57,411,501
57,944,756,57,424,475
57,972,750,57,423,526
57,1008,641,57,409,487
57,908,760,57,424,501
57,904,637,57,391,476
57,891,725,57,440,515
57,899,710,57,402,526
57,1024,626,57,389,478
57,846,655,57,410,473
57,913,720,57,401,479
57,854,764,57,406,473
57,912,672,57,394,520
57,1008,772,57,378,494
57,873,678,57,391,464
57,919,663,57,396,471
57,897,707,57,393,481
57,893,697,57,413,498
57,902,616,57,377,493
57,929,870,57,438,479
57,968,729,57,410,478
57,866,844,57,410,470
57,833,732,57,378,479
57,961,759,57,388,479
57,930,750,57,445,477
57,850,748,57,401,479
57,918,680,57,429,479
57,851,598,57,427,493
57,993,966,57,369,502
57,757,779,57,383,503
57,940,875,57,410,498
57,911,786,57,436,522
57,920,707,57,428,471
57,832,682,57,391,519
57,897,693,57,385,505
57,968,748,57,409,472
57,938,853,57,421,474
57,738,682,57,426,474
57,866,725,57,426,479
57,935,744,57,374,472
57,838,696,57,426,470
57,916,761,57,380,479
57,954,827,57,390,481
57,938,757,57,411,499
57,866,732,57,458,474
57,839,725,57,406,478
57,900,714,57,390,476
57,850,756,57,406,472
57,1040,729,57,411,472
57,927,845,57,391,525
57,904,915,57,404,469
57,846,589,57,389,499
57,995,708,57,376,504
57,902,917,57,411,472
57,849,822,57,435,481
57,873,640,57,407,500
57,817,640,57,373,502
57,1063,943,57,434,496
57,873,827,57,394,489
57,907,550,57,373,503
57,1008,748,57,416,473
57,980,662,57,412,494
57,890,741,57,441,504
57,950,600,57,364,470
57,999,756,57,449,497
57,844,760,57,400,519
57,802,600,57,424,498
57,871,767,57,446,522
57,972,740,57,418,475
57,802,654,57,390,504
57,886,711,57,429,476
57,952,853,57,388,476
57,869,684,57,418,502
57,824,813,57,404,500
57,969,751,57,405,475
57,876,671,57,416,497
57,901,812,57,391,471
57,1092,771,57,392,470
57,981,813,57,433,473
57,957,836,57,443,475
57,908,777,57,386,502
57,838,625,57,392,496
57,861,641,57,409,472
57,797,659,57,397,481
57,903,923,57,426,472
57,832,707,57,405,478
57,911,848,57,390,481
57,838,759,57,392,471
57,938,738,57,440,471
57,974,767,57,363,475
57,812,748,57,416,472
57,852,830,57,435,496
57,921,739,57,404,470
57,689,672,57,407,503
57,798,807,57,429,495
57,851,620,57,433,477
57,1050,766,57,421,513
57,821,663,57,405,472
57,974,784,57,403,491
57,942,742,57,405,474
57,863,602,57,420,472
57,869,830,57,426,502
57,859,668,57,426,466
57,915,813,57,410,502
57,839,781,57,419,506
57,849,638,57,441,477
57,951,659,57,375,477
57,849,735,57,388,522
57,960,881,57,378,475
57,838,776,57,407,475
57,846,697,57,397,479
57,854,785,57,350,495
57,821,681,57,415,474
57,972,696,57,424,480
57,826,711,57,373,473
57,816,751,57,394,474
57,1075,647,57,373,472
57,959,664,57,393,496
57,812,753,57,359,476
57,881,743,57,373,482
57,919,718,57,391,473
57,834,796,57,379,473
57,833,836,57,393,498
57,950,748,57,416,477
57,899,748,57,359,502
57,949,717,57,428,500
57,954,678,57,404,503
57,769,666,57,404,492
57,889,746,57,415,474
57,817,614,57,374,495
57,848,809,57,389,478
57,769,759,57,405,474
57,903,742,57,389,509
57,727,701,57,397,472
57,902,726,57,412,504
57,907,818,57,423,499
57,963,732,57,385,467
57,1029,648,57,404,475
57,920,676,57,391,497
57,843,644,57,413,470
57,864,663,57,379,469
57,868,770,57,394,523
57,863,728,57,394,499
57,849,751,57,400,515
57,813,738,57,390,525
57,959,838,57,454,500
57,869,722,57,423,499
57,899,650,57,422,476
57,850,636,57,397,498
57,992,673,57,461,469
57,924,791,57,388,505
57,875,682,57,386,506
57,888,762,57,437,470
