mhs_linear,merging_states,greedy_insertion_mhs_combined,greedy_insertion_ordered,linear_reduced,mhs_nonlinear,greedy_insertion_ordered_combined,greedy_insertion_mhs
12,13,12,19,20,14,19,19
12,13,12,12,14,14,12,12
11,13,10,10,19,11,10,10
14,21,14,21,28,17,21,21
13,21,13,19,22,15,19,19
13,13,13,13,17,14,13,13
12,16,12,18,28,15,18,18
16,14,16,17,27,17,17,17
13,13,11,11,25,14,11,11
16,24,16,21,22,17,21,21
14,14,13,13,27,15,13,13
12,24,12,18,18,12,18,18
13,18,11,11,14,14,11,11
12,19,12,17,23,13,17,17
14,15,14,18,24,17,18,18
17,20,14,14,18,21,14,14
13,12,12,12,22,14,12,12
13,15,13,14,24,14,14,14
14,17,13,13,23,15,13,13
16,14,15,15,25,18,15,15
14,17,14,17,21,16,17,17
14,17,14,14,31,10,14,14
13,14,13,22,20,15,20,22
12,13,12,14,22,13,14,14
17,17,12,12,18,18,12,12
14,18,14,14,17,17,14,14
14,19,13,13,24,15,13,13
17,18,15,15,21,19,15,15
14,18,14,18,27,14,18,18
20,13,13,13,20,17,13,13
15,14,14,14,20,16,14,14
12,15,12,16,21,13,16,16
24,15,20,20,24,26,20,20
17,19,16,16,29,20,16,16
20,24,20,20,25,14,20,20
11,27,11,11,21,14,11,11
13,15,13,20,30,15,20,20
14,14,14,21,26,15,21,21
16,19,14,14,24,17,14,14
21,22,15,15,15,17,15,15
17,21,14,14,20,18,14,14
13,13,12,12,20,14,12,12
11,12,10,10,28,13,10,10
11,11,11,11,16,12,11,11
14,24,11,11,21,15,11,11
14,25,13,13,22,18,13,13
18,20,15,15,17,13,15,15
10,11,10,10,20,11,10,10
14,15,14,18,14,15,14,18
12,14,12,15,13,14,13,15
14,27,13,13,26,16,13,13
18,25,18,19,22,19,19,19
11,11,11,11,12,11,11,11
11,16,11,17,30,11,17,17
13,14,12,12,14,14,12,12
14,17,14,15,15,18,15,15
25,17,16,16,17,23,16,16
16,13,16,19,12,19,12,19
15,19,13,13,38,12,13,13
17,18,17,21,20,18,20,21
17,14,17,17,12,16,12,17
21,27,20,20,28,19,20,20
16,17,16,16,17,19,16,16
11,16,11,11,18,12,11,11
17,17,17,22,21,18,21,22
18,15,14,14,20,19,14,14
12,14,11,11,12,14,11,11
14,15,14,18,21,15,18,18
15,14,15,15,19,16,15,15
14,17,14,14,22,16,14,14
14,16,12,12,20,17,12,12
11,19,11,17,24,12,17,17
13,13,13,17,14,14,14,17
15,14,15,18,14,15,14,18
12,12,12,13,12,15,12,13
16,19,12,12,28,20,12,12
17,17,16,16,21,20,16,16
13,16,12,12,21,14,12,12
16,15,13,13,15,16,13,13
12,15,12,12,13,13,12,12
12,12,11,11,20,12,11,11
15,18,14,14,21,18,14,14
18,22,18,18,20,14,18,18
14,17,13,13,18,16,13,13
15,15,15,19,21,16,19,19
13,16,13,14,20,15,14,14
11,11,11,12,20,13,12,12
15,13,14,14,19,16,14,14
20,19,14,14,13,21,13,14
11,20,11,11,23,12,11,11
14,14,13,13,20,15,13,13
16,18,14,14,22,18,14,14
13,17,12,12,13,15,12,12
12,13,12,13,15,13,13,13
14,14,14,15,18,16,15,15
10,19,10,17,17,12,17,17
12,13,11,11,21,14,11,11
15,22,15,15,24,17,15,15
13,15,12,12,13,15,12,12
18,20,16,16,15,21,15,16
13,17,13,13,43,14,13,13
16,19,14,14,25,19,14,14
17,20,15,15,25,20,15,15
13,25,13,14,28,14,14,14
15,15,15,17,43,16,17,17
14,18,14,26,21,15,21,26
15,19,11,11,21,13,11,11
13,16,13,18,20,15,18,18
11,27,11,13,14,14,13,13
13,14,13,21,19,14,19,21
12,16,12,15,17,9,15,15
15,16,15,20,21,18,20,20
12,12,11,11,19,14,11,11
17,16,16,16,23,20,16,16
12,20,12,18,21,16,18,18
14,16,14,14,13,16,13,14
17,23,17,19,26,19,19,19
15,17,11,11,27,17,11,11
13,12,13,15,26,17,15,15
14,15,11,11,25,16,11,11
14,15,14,18,21,15,18,18
18,19,14,14,15,19,14,14
16,23,16,18,14,19,14,18
14,17,14,14,16,16,14,14
15,16,14,14,15,17,14,14
13,15,13,13,43,15,13,13
11,12,10,10,21,13,10,10
14,15,13,13,19,17,13,13
14,19,14,14,18,16,14,14
14,22,14,14,11,15,11,14
11,14,11,12,21,13,12,12
13,15,13,19,23,14,19,19
13,22,13,13,15,16,13,13
15,20,15,18,19,17,18,18
16,15,14,14,17,13,14,14
13,21,13,13,24,15,13,13
14,15,12,12,17,16,12,12
16,17,13,13,30,17,13,13
14,16,14,19,21,16,19,19
12,20,12,16,17,12,16,16
12,20,12,17,21,12,17,17
11,11,11,15,24,11,15,15
9,9,9,15,23,9,15,15
13,14,13,13,26,14,13,13
14,13,14,20,20,15,20,20
23,19,16,16,22,25,16,16
10,10,10,16,26,10,16,16
14,18,14,19,21,15,19,19
18,21,18,18,20,14,18,18
14,14,14,15,22,15,15,15
11,12,11,18,25,12,18,18
15,16,15,15,25,17,15,15
11,13,11,12,18,13,12,12
14,16,14,19,15,15,15,19
13,24,13,16,24,16,16,16
11,12,11,17,20,12,17,17
15,14,12,12,17,18,12,12
11,16,11,11,12,13,11,11
15,16,13,13,21,16,13,13
16,15,16,19,21,17,19,19
20,23,13,13,21,21,13,13
13,18,13,14,29,15,14,14
15,15,15,19,19,16,19,19
16,16,16,19,26,19,19,19
13,18,11,11,17,14,11,11
12,16,12,12,41,12,12,12
12,20,12,16,19,13,16,16
14,15,11,11,13,15,11,11
16,19,16,18,22,18,18,18
12,17,12,12,21,14,12,12
13,15,13,15,27,18,15,15
16,20,16,17,27,18,17,17
17,17,14,14,20,18,14,14
14,16,14,19,25,15,19,19
16,28,13,13,20,19,13,13
15,18,14,14,16,16,14,14
20,24,17,17,20,16,17,17
19,21,15,15,24,21,15,15
14,14,14,16,16,17,16,16
13,13,12,12,12,14,12,12
16,18,13,13,16,18,13,13
17,17,14,14,21,19,14,14
14,14,14,14,27,14,14,14
14,15,14,26,21,16,21,26
11,11,10,10,16,11,10,10
12,17,12,14,20,15,14,14
16,23,16,20,23,17,20,20
11,11,11,18,20,12,18,18
14,15,14,20,19,15,19,20
14,16,14,14,44,16,14,14
17,17,13,13,23,19,13,13
19,22,19,19,17,15,17,19
14,20,14,16,19,15,16,16
14,19,13,13,24,16,13,13
15,25,15,21,24,19,21,21
21,24,19,19,21,19,19,19
15,22,15,19,23,17,19,19
18,18,16,16,22,20,16,16
10,23,10,10,27,10,10,10
16,24,16,21,23,18,21,21
14,17,13,13,21,16,13,13
12,12,12,12,19,13,12,12
14,18,14,14,32,16,14,14
13,18,13,20,16,16,16,20
14,18,13,13,16,16,13,13
12,21,12,15,17,12,15,15
14,14,14,20,28,15,20,20
13,24,12,12,13,17,12,12
19,22,18,18,19,16,18,18
16,14,14,14,18,17,14,14
16,16,14,14,19,17,14,14
13,12,13,17,21,13,17,17
13,13,13,16,17,13,16,16
13,15,13,14,13,15,13,14
14,24,12,12,18,16,12,12
15,16,15,21,19,16,19,21
15,17,15,21,20,16,20,21
13,14,13,14,14,17,14,14
10,10,10,10,9,10,9,10
15,17,15,16,14,17,14,16
14,20,13,13,17,17,13,13
15,14,15,19,19,16,19,19
12,14,12,12,30,14,12,12
13,15,13,13,21,15,13,13
12,13,12,14,19,15,14,14
14,19,14,17,14,14,14,17
12,12,12,18,19,13,18,18
13,14,12,12,21,14,12,12
16,18,13,13,17,19,13,13
13,13,12,12,29,17,12,12
14,17,14,14,23,17,14,14
14,17,14,14,23,17,14,14
15,19,15,15,15,12,15,15
12,14,12,16,15,13,15,16
15,15,15,15,23,17,15,15
14,14,14,18,21,15,18,18
14,20,13,13,19,16,13,13
14,11,14,16,12,14,12,16
8,20,8,10,43,10,10,10
15,17,13,13,14,17,13,13
16,14,14,14,22,19,14,14
16,17,12,12,17,19,12,12
16,16,16,17,18,16,17,17
11,15,11,11,28,12,11,11
12,14,12,13,13,15,13,13
22,23,21,21,14,25,14,21
13,21,13,13,19,14,13,13
11,20,11,11,19,11,11,11
13,17,13,13,22,14,13,13
15,16,15,19,24,16,19,19
13,13,13,20,20,14,20,20
16,27,16,18,22,13,18,18
16,15,13,13,23,19,13,13
18,23,15,15,32,19,15,15
14,14,12,12,22,16,12,12
17,15,15,15,16,19,15,15
16,27,15,15,24,19,15,15
10,20,10,10,18,11,10,10
15,25,15,18,23,17,18,18
13,18,13,16,18,15,16,16
15,17,12,12,20,17,12,12
13,15,12,12,19,16,12,12
17,17,17,26,29,18,26,26
16,17,14,14,18,18,14,14
13,13,13,13,13,13,13,13
13,17,13,13,20,15,13,13
15,15,15,18,22,15,18,18
12,13,12,25,19,13,19,25
15,17,13,13,15,17,13,13
16,15,16,16,23,19,16,16
14,23,12,12,17,13,12,12
10,15,10,16,15,10,15,16
15,23,15,22,20,16,20,22
18,20,11,11,17,19,11,11
10,22,10,10,18,11,10,10
12,29,12,12,29,15,12,12
13,14,13,13,19,15,13,13
16,15,15,15,29,19,15,15
13,13,12,12,14,17,12,12
18,27,12,12,25,16,12,12
12,21,12,12,25,13,12,12
12,21,12,12,16,13,12,12
14,25,13,13,14,17,13,13
18,22,18,18,21,15,18,18
12,14,12,12,20,14,12,12
10,12,9,9,9,10,9,9
15,16,15,19,22,18,19,19
10,14,10,11,10,12,10,11
14,17,14,15,20,16,15,15
17,15,17,19,18,19,18,19
12,16,11,11,47,12,11,11
14,23,14,19,26,15,19,19
15,16,13,13,15,17,13,13
14,17,14,14,19,18,14,14
21,24,15,15,16,18,15,15
18,17,15,15,25,20,15,15
15,17,14,14,16,18,14,14
12,11,12,12,23,13,12,12
16,18,13,13,17,18,13,13
16,18,12,12,22,18,12,12
12,18,12,13,25,13,13,13
13,21,13,18,19,15,18,18
16,19,15,15,15,20,15,15
14,17,13,13,26,17,13,13
16,16,14,14,20,17,14,14
13,14,13,13,13,17,13,13
13,15,13,13,21,16,13,13
15,19,15,18,17,17,17,18
12,12,11,11,17,13,11,11
14,16,14,19,22,16,19,19
14,17,13,13,20,17,13,13
13,25,13,18,17,14,17,18
14,13,13,13,18,15,13,13
14,16,12,12,14,17,12,12
13,15,12,12,19,14,12,12
10,14,10,10,64,13,10,10
14,17,14,16,12,16,12,16
15,15,14,14,15,16,14,14
14,16,13,13,26,16,13,13
14,17,14,21,25,17,21,21
15,16,12,12,22,16,12,12
14,19,14,18,20,13,18,18
21,23,20,20,21,18,20,20
13,17,13,13,14,14,13,13
9,18,9,11,13,10,11,11
16,18,16,20,25,17,20,20
14,17,14,20,17,17,17,20
11,11,10,10,20,12,10,10
12,13,12,12,23,13,12,12
12,19,11,11,18,14,11,11
13,13,13,15,19,15,15,15
11,20,11,11,19,11,11,11
21,21,15,15,19,24,15,15
11,15,11,14,15,15,14,14
13,13,13,13,15,15,13,13
12,14,12,18,16,13,16,18
13,15,13,13,15,15,13,13
21,26,19,19,21,16,19,19
18,22,18,18,23,13,18,18
13,14,12,12,28,14,12,12
16,23,16,21,26,20,21,21
11,22,11,18,25,12,18,18
12,12,12,12,41,13,12,12
13,24,13,14,22,15,14,14
17,18,16,16,21,19,16,16
13,15,13,16,13,14,13,16
10,13,10,10,25,11,10,10
13,14,12,12,20,14,12,12
13,15,13,18,21,14,18,18
20,24,12,12,27,20,12,12
20,22,19,19,20,16,19,19
13,15,13,14,29,15,14,14
13,16,13,13,20,16,13,13
11,15,11,11,17,13,11,11
14,16,13,13,29,16,13,13
12,13,11,11,25,14,11,11
12,12,12,12,22,13,12,12
13,25,10,10,16,14,10,10
14,21,13,13,17,17,13,13
14,15,14,21,29,15,21,21
16,19,16,16,18,13,16,16
20,22,18,18,19,16,18,18
16,18,16,18,25,12,18,18
12,15,12,21,14,15,14,21
12,22,12,12,19,13,12,12
13,18,13,14,13,14,13,14
14,15,14,18,18,15,18,18
12,13,11,11,17,13,11,11
14,27,14,16,29,18,16,16
15,14,15,19,22,17,19,19
12,15,11,11,22,15,11,11
14,14,14,20,20,15,20,20
12,23,12,12,23,12,12,12
14,14,14,21,19,15,19,21
12,15,11,11,14,14,11,11
16,20,16,19,15,17,15,19
14,15,11,11,13,15,11,11
13,13,13,18,18,13,18,18
10,18,10,10,11,10,10,10
15,22,15,19,28,15,19,19
15,17,15,17,14,16,14,17
14,13,12,12,14,14,12,12
14,17,14,21,19,17,19,21
13,16,13,13,25,14,13,13
14,14,14,21,21,15,21,21
14,15,11,11,13,16,11,11
13,15,13,14,19,14,14,14
15,16,15,16,13,17,13,16
14,15,13,13,21,17,13,13
16,15,16,17,26,19,17,17
11,12,11,14,17,11,14,14
14,19,14,14,20,17,14,14
13,13,12,12,13,14,12,12
15,18,15,17,20,15,17,17
21,25,15,15,21,17,15,15
12,13,12,13,21,14,13,13
12,13,12,15,21,15,15,15
12,15,12,14,21,13,14,14
13,15,13,18,14,17,14,18
8,9,8,10,25,9,10,10
15,17,13,13,24,16,13,13
15,15,15,20,15,17,15,20
14,15,14,14,14,17,14,14
15,19,15,15,18,18,15,15
13,16,13,17,21,15,17,17
11,22,11,11,19,14,11,11
15,12,12,12,12,16,12,12
14,19,10,10,18,12,10,10
13,15,13,17,16,15,16,17
10,24,10,12,21,12,12,12
13,13,13,14,13,13,13,14
12,13,12,12,23,12,12,12
15,18,13,13,28,18,13,13
16,21,14,14,15,12,14,14
14,14,14,19,18,14,18,19
15,19,14,14,18,18,14,14
15,17,13,13,22,18,13,13
12,14,12,13,21,13,13,13
17,18,17,22,19,19,19,22
11,18,11,12,18,12,12,12
13,12,13,14,18,14,14,14
13,15,12,12,22,15,12,12
9,19,9,9,15,9,9,9
14,15,14,14,20,16,14,14
15,15,14,14,13,16,13,14
22,26,20,20,22,17,20,20
14,14,14,14,19,15,14,14
14,16,14,17,25,15,17,17
16,15,16,18,18,14,18,18
11,15,11,17,15,12,15,17
13,24,12,12,19,14,12,12
14,21,14,18,19,16,18,18
10,14,10,12,28,13,12,12
17,16,17,21,31,17,21,21
12,13,12,12,11,13,11,12
