qiskit,shp_reduced,multiedge,qiskit_dense,mhs_nonlinear,merging_states,mhs_nonlinear_alt,mhs_multi
120,1234,1392,803,646,771,651,493.0
120,1524,1518,866,657,758,598,547.0
120,1391,1157,620,627,723,624,561.0
120,1457,1306,534,623,682,614,547.0
120,1413,1291,694,673,704,601,462.0
120,1372,1282,764,614,719,612,519.0
120,1486,1425,807,625,718,596,569.0
120,1412,1337,808,607,673,626,579.0
120,1383,1603,664,637,757,593,562.0
120,1437,1133,956,671,767,615,534.0
120,1399,1259,739,648,743,666,527.0
120,1474,1382,631,610,774,626,570.0
120,1494,1553,653,641,725,647,546.0
120,1218,1430,583,643,709,594,521.0
120,1416,1300,642,659,736,705,520.0
120,1409,1389,643,651,710,593,507.0
120,1578,1215,855,594,706,635,435.0
120,1525,1348,707,594,686,652,595.0
120,1277,1411,698,637,702,629,530.0
120,1306,1558,818,632,718,619,545.0
120,1529,1522,702,670,797,636,553.0
120,1568,1781,905,637,717,669,458.0
120,1454,1727,837,645,715,704,464.0
120,1396,1572,843,649,803,680,482.0
120,1281,1349,773,592,750,669,540.0
120,1479,1562,674,725,698,568,531.0
120,1441,1619,841,631,799,652,569.0
120,1360,1392,768,645,759,652,492.0
120,1497,1427,849,627,720,659,571.0
120,1583,1418,779,676,744,730,598.0
120,1326,1269,862,637,740,550,634.0
120,1415,1218,543,655,722,599,457.0
120,1578,1620,700,639,727,608,444.0
120,1565,1386,702,638,710,615,535.0
120,1421,1547,760,620,732,577,468.0
120,1413,1302,686,658,743,640,555.0
120,1524,1479,848,652,741,630,523.0
120,1515,1370,788,605,727,581,408.0
120,1308,1291,798,703,758,638,531.0
120,1624,1561,607,684,754,587,497.0
120,1429,1438,1053,635,746,652,493.0
120,1470,1396,673,694,758,688,582.0
120,1414,1294,604,663,763,644,532.0
120,1365,1582,806,608,749,656,611.0
120,1472,1477,656,669,702,604,486.0
120,1353,1477,711,623,726,666,611.0
120,1448,1430,837,632,705,639,572.0
120,1560,1415,729,629,711,634,532.0
120,1341,1452,789,656,736,640,610.0
120,1403,1248,828,555,713,694,579.0
120,1402,1354,563,620,704,581,489.0
120,1462,1221,869,615,716,589,484.0
120,1418,1397,513,623,745,627,465.0
120,1287,1343,661,633,749,625,534.0
120,1532,1444,831,677,759,623,529.0
120,1382,1273,724,603,707,596,579.0
120,1382,1591,902,641,762,668,572.0
120,1427,1533,786,652,716,674,429.0
120,1518,1407,725,632,697,626,526.0
120,1386,1483,733,658,816,628,532.0
120,1392,1516,912,661,782,629,565.0
120,1527,1307,680,546,715,667,510.0
120,1446,1381,710,596,685,652,421.0
120,1503,1553,694,626,689,668,531.0
120,1527,1519,649,670,718,657,483.0
120,1241,1490,807,612,709,641,554.0
120,1366,1525,566,636,791,631,440.0
120,1454,1211,703,618,754,626,468.0
120,1368,1535,669,623,709,591,528.0
120,1354,1554,826,680,781,582,613.0
120,1610,1370,600,701,679,624,494.0
120,1430,1221,651,571,681,611,476.0
120,1310,1522,971,591,734,582,588.0
120,1297,1429,936,640,752,661,475.0
120,1616,1398,645,657,746,593,516.0
120,1351,1715,921,650,763,637,531.0
120,1490,1588,875,584,758,628,557.0
120,1425,1416,775,632,735,692,634.0
120,1507,1562,1128,637,784,648,497.0
120,1368,1348,650,579,751,594,462.0
120,1549,1413,848,639,738,703,551.0
120,1181,1426,563,636,685,649,541.0
120,1480,1551,827,664,709,630,453.0
120,1430,1260,660,608,727,618,595.0
120,1438,1653,882,678,775,652,594.0
120,1520,1344,816,750,778,699,513.0
120,1398,1422,1047,695,780,638,526.0
120,1459,1444,548,643,768,636,450.0
120,1543,1516,585,591,690,591,518.0
120,1377,1154,770,666,757,671,519.0
120,1486,1652,576,663,719,636,587.0
120,1549,1388,661,576,716,596,469.0
120,1389,1535,694,593,733,600,610.0
120,1501,1484,664,686,725,633,546.0
120,1440,1076,453,604,731,646,381.0
120,1460,1467,658,627,810,610,484.0
120,1351,1546,828,666,732,617,567.0
120,1540,1586,974,608,751,617,580.0
120,1558,1681,1104,693,803,651,537.0
120,1211,1351,761,668,684,636,521.0
120,1446,1564,792,678,716,618,
120,1419,1309,770,604,729,671,
120,1462,1377,738,676,692,599,
120,1503,1162,666,667,714,638,
120,1302,1303,777,641,766,639,
120,1244,1389,824,612,748,633,
120,1530,1384,786,759,777,623,
120,1252,1593,675,594,681,666,
120,1433,1391,821,640,717,561,
120,1369,1446,1162,633,738,671,
120,1471,1307,718,609,691,607,
120,1491,1334,702,655,718,586,
120,1287,1341,930,662,775,630,
120,1525,1296,741,599,703,592,
120,1190,1450,638,674,711,629,
120,1607,1292,719,579,732,627,
120,1648,1539,1120,642,774,640,
120,1276,1385,965,657,761,646,
120,1513,1544,943,690,760,661,
120,1434,1393,943,630,766,620,
120,1568,1261,829,589,733,641,
120,1587,1338,690,619,733,632,
120,1475,1229,887,654,701,666,
120,1387,1183,693,607,705,629,
