qiskit,shp_reduced,gleinig,greedy_linear
120,2313,1250,2165
120,2242,1183,1818
120,2236,1249,1953
120,2366,1160,1937
120,2235,1157,1921
120,2214,1222,1793
120,2153,1203,1876
120,2205,1262,2251
120,2169,1179,1841
120,2249,1252,2102
120,2138,1223,1951
120,2173,1222,1875
120,2074,1174,1917
120,2134,1303,1981
120,2036,1303,2009
120,2447,1157,1857
120,2241,1177,2092
120,1952,1229,2118
120,2072,1225,1902
120,2295,1249,1843
120,2283,1207,1985
120,2315,1215,2250
120,2328,1174,1814
120,2277,1252,1983
120,2149,1199,1961
120,1891,1176,1971
120,2467,1173,1954
120,2391,1180,2180
120,2242,1223,2032
120,2405,1188,2256
120,2247,1143,1980
120,2130,1182,2025
120,2433,1228,2054
120,2158,1191,2052
120,2259,1252,2137
120,2164,1196,1881
120,2336,1220,1967
120,2152,1266,2003
120,2282,1205,2132
120,2537,1229,2135
120,2020,1210,1997
120,2350,1247,1986
120,2214,1179,1902
120,2445,1206,2059
120,2181,1241,1941
120,2213,1206,2060
120,2114,1205,1969
120,2226,1267,1977
120,2336,1250,1892
120,2084,1272,2139
120,2266,1214,2154
120,2236,1214,2106
120,2451,1226,1995
120,2053,1201,1928
120,2500,1150,2037
120,2226,1214,2112
120,2365,1179,1985
120,2308,1204,1916
120,2062,1224,2293
120,2408,1222,2056
120,1917,1251,2052
120,2206,1224,1967
120,2216,1259,1966
120,2414,1180,2026
120,2391,1172,2152
120,2197,1198,2089
120,2280,1203,1875
120,2396,1248,2041
120,2307,1235,1808
120,2080,1209,2248
120,2198,1207,2365
120,2397,1263,1955
120,2366,1233,1971
120,2227,1191,2091
120,2194,1180,1964
120,2214,1202,1948
120,2440,1205,2157
120,2474,1179,2095
120,2266,1234,2207
120,2326,1228,1861
120,2427,1227,2209
120,2067,1228,1823
120,2187,1235,1931
120,2169,1255,1869
120,2246,1223,2043
120,1940,1208,1927
120,2142,1222,2049
120,2190,1216,2002
120,2186,1180,2312
120,2352,1278,2232
120,2176,1241,2260
120,2336,1245,1956
120,2254,1260,1933
120,2311,1192,1857
120,2088,1093,2001
120,2148,1228,1925
120,2515,1180,2243
120,2211,1252,2215
120,2285,1234,2248
120,2136,1203,1988
120,2484,1254,1984
120,2248,1247,2231
120,2290,1198,1983
120,2160,1226,2013
120,2466,1195,2132
120,2233,1213,1957
120,2090,1257,2012
120,2332,1234,1941
120,2072,1226,2147
120,2384,1128,1854
120,2306,1203,2115
120,2117,1164,1839
120,2571,1210,2110
120,2343,1239,2006
120,2348,1220,1900
120,2242,1162,2055
120,2260,1180,1857
120,2378,1227,2265
120,2544,1206,2003
120,2338,1200,2049
120,2260,1131,1807
120,2124,1212,2038
120,2272,1226,1951
120,2240,1202,2052
120,2397,1257,2063
120,2355,1330,1961
120,2347,1178,2087
120,2379,1279,1860
120,2330,1233,2017
120,2097,1200,2096
120,2395,1259,2156
120,2081,1214,2107
120,2207,1251,2197
120,2140,1216,2070
120,2419,1204,1897
120,2380,1222,1972
120,2240,1222,2097
120,2259,1245,1954
120,2355,1249,1976
120,2437,1233,1833
120,2194,1177,2113
120,2491,1219,2013
120,2379,1211,1818
120,2359,1178,2088
120,2170,1219,2051
120,2158,1230,1935
120,2275,1261,2029
120,2253,1226,2130
120,2400,1239,2081
120,2021,1185,2027
120,2459,1201,2062
120,2190,1220,2033
120,2109,1200,2045
120,2437,1213,2087
120,1988,1134,2130
120,2365,1230,1973
120,2181,1224,1864
120,2096,1254,2024
120,2258,1181,1942
120,2054,1197,1970
120,2528,1171,1884
120,2279,1240,2293
120,2221,1240,2049
120,2069,1206,1879
120,2477,1195,2120
120,1935,1349,2017
120,2196,1201,2252
120,2213,1240,1992
120,2227,1273,2054
120,2355,1220,2057
120,2157,1175,2020
120,2141,1159,2109
120,2438,1187,2235
120,2105,1213,2071
120,2367,1181,2060
120,1999,1262,1939
120,2041,1206,1982
120,2415,1270,2218
120,2560,1253,2132
120,2313,1222,1981
120,2383,1255,1964
120,2084,1172,2125
120,2113,1233,2072
120,2263,1253,2049
120,1839,1230,1954
120,2082,1224,1867
120,2246,1243,1837
120,2297,1253,1951
120,2121,1226,2263
120,2553,1257,2075
120,2589,1253,2016
120,2451,1222,2074
120,2457,1207,2149
120,2326,1198,1782
120,2429,1253,1948
120,2315,1253,1927
120,2309,1202,1957
120,2256,1195,2080
120,2462,1183,2128
120,2022,1298,1912
120,2365,1212,2071
120,2360,1227,2074
120,2483,1225,2125
120,2252,1250,2053
120,2296,1219,1933
120,2112,1234,2083
120,2534,1281,2085
120,2302,1195,2014
120,2288,1224,1804
120,2011,1225,1796
120,2246,1202,1823
120,2289,1179,2207
120,2123,1228,1903
120,2409,1320,1838
120,2210,1231,1973
120,2131,1341,2021
