qiskit,linear,linear_reduced,shp_reduced,mst_reduced,shp,mst,random,random_reduced,graycode_reduced,gleinig,gleinig_qwalk,btree_qwalk,greedy_linear,hamming_weight_qwalk,greedy_insertion,brute_force_linear,greedy_tree
120,758,60,47,55,746,740,751,58,54,23,37,66,43,46,31,30,29
120,741,35,57,37,746,739,752,45,33,23,23,44,36,32,22,21,28
114,746,59,35,33,739,737,752,70,39,22,36,33,34,41,27,28,32
120,741,26,35,45,742,740,741,56,38,16,22,35,37,26,29,21,25
120,745,49,46,49,743,742,752,62,36,18,28,61,27,73,21,25,29
120,763,42,52,36,748,744,753,72,53,22,50,36,33,77,34,29,39
120,750,52,26,43,740,740,753,68,32,30,48,36,33,57,23,22,34
120,749,61,44,51,742,738,744,98,79,20,52,59,33,57,29,29,30
108,753,49,47,42,743,742,749,78,70,18,38,54,40,57,31,25,33
120,753,48,52,53,748,746,749,62,38,32,33,60,46,48,35,26,46
120,750,74,33,33,739,737,748,48,52,21,54,67,47,63,32,18,34
120,744,48,49,51,746,743,751,67,66,27,46,44,48,57,41,20,42
120,755,50,54,63,750,744,748,67,51,28,48,52,40,41,35,27,43
120,744,37,40,34,735,734,753,60,51,22,28,55,45,40,27,25,28
120,754,77,39,43,745,740,754,70,54,19,40,45,46,58,33,21,30
120,751,44,51,51,747,742,755,55,58,32,35,47,63,53,30,25,40
120,757,42,34,41,749,745,763,57,61,30,44,37,40,58,34,28,38
120,758,76,48,58,744,743,761,88,65,27,48,66,47,59,51,27,42
120,748,41,30,46,743,742,744,74,58,19,66,49,45,57,21,26,38
58,746,49,35,42,740,736,741,87,37,22,26,48,39,44,20,21,25
120,750,50,55,54,743,739,747,55,58,31,57,51,40,68,30,31,34
114,750,41,38,36,743,739,759,76,56,21,46,55,37,50,21,23,31
120,754,47,55,56,753,747,761,64,38,38,45,51,43,50,40,28,48
120,747,52,37,44,740,735,750,76,63,32,47,60,35,35,38,28,41
120,744,58,36,43,742,738,755,87,48,19,33,55,25,31,31,25,33
102,752,36,41,40,746,740,756,68,43,21,33,40,31,51,24,24,42
120,749,45,37,40,743,741,747,70,66,31,51,42,46,58,32,24,33
120,752,61,31,20,735,735,757,40,77,17,18,46,45,56,15,18,33
120,750,78,35,55,738,736,753,77,70,22,33,68,34,53,29,24,27
120,750,44,71,53,746,737,741,64,56,20,31,71,26,25,20,20,15
120,750,41,37,39,741,741,761,73,54,19,20,38,38,30,21,23,23
120,752,72,42,41,739,737,754,95,64,25,30,57,41,34,31,22,23
120,747,51,32,33,738,738,755,91,54,15,30,33,23,28,22,20,30
120,750,47,43,46,740,740,761,90,65,17,29,44,39,44,21,20,20
120,749,54,37,40,744,742,754,62,60,27,35,51,47,63,31,25,35
120,750,53,44,44,739,738,751,46,62,31,38,50,65,65,20,25,42
120,754,49,50,54,745,739,759,66,45,33,51,46,39,51,30,32,35
120,747,41,41,41,745,739,747,53,57,22,42,45,30,44,29,22,28
120,750,44,41,47,745,740,761,59,36,25,32,51,27,77,24,24,31
120,760,84,33,34,736,737,753,62,62,16,30,51,62,57,27,22,21
120,754,51,53,52,748,747,754,72,47,29,45,53,42,50,30,29,47
120,748,41,33,55,740,738,749,50,40,21,41,46,46,41,28,19,24
120,756,34,30,38,746,744,751,49,45,26,30,40,31,64,34,25,31
120,755,60,24,30,737,737,753,76,56,20,38,47,34,37,20,22,37
120,753,87,48,47,744,741,753,105,48,21,37,44,42,50,24,26,42
120,744,48,60,40,744,738,754,68,47,19,27,42,38,34,37,25,21
120,746,41,24,34,740,740,748,60,39,22,32,36,32,36,38,22,32
