mhs_nonlinear,merging_states,mhs_linear,qiskit
931,1048,1244,247
975,1199,1123,247
945,1149,1262,247
1012,1041,1286,247
994,1037,1060,247
964,1177,1235,247
943,1149,1251,247
970,1132,1052,247
992,1150,1241,247
930,1107,1147,247
975,1058,1174,247
1028,1021,1161,247
918,1099,1071,247
1038,1120,1144,247
979,1077,1132,247
958,1089,1071,247
984,1060,1192,247
901,1142,1021,247
1006,1073,1148,247
954,1016,1151,247
955,1073,1062,247
885,1116,1056,247
923,1091,1076,247
982,1116,1197,247
895,1020,1254,247
981,1200,1048,247
962,1109,1099,247
1039,1100,1081,247
1006,1162,1141,247
938,1064,1073,247
936,1025,1037,247
1018,1045,1182,247
997,1075,1299,247
1008,1146,1128,247
992,1043,1058,247
942,1065,1124,247
978,1066,1204,247
882,1064,1081,247
989,1095,1077,247
990,1055,1119,247
952,1106,1053,247
981,1126,1179,247
962,1077,1013,247
872,1078,1093,247
981,1066,1234,247
895,976,964,247
934,1064,1017,247
954,1022,1368,247
1013,1034,1348,247
940,1039,1182,247
920,1063,1177,247
958,1052,1236,247
895,1046,1104,247
1009,1107,1088,247
896,983,1081,247
1030,1144,1203,247
833,1113,1015,247
975,1044,1184,247
925,1025,1149,247
1000,1122,1247,247
1116,1102,1188,247
916,955,1203,247
963,1042,1130,247
944,1073,1168,247
1020,1140,1301,247
969,1081,1272,247
977,1109,1072,247
930,966,1085,247
911,1107,1089,247
915,1167,1072,247
938,1111,1260,247
1018,1103,1267,247
912,1076,1154,247
908,1068,1119,247
992,1115,1284,247
942,1057,1030,247
985,1106,1269,247
948,1066,1125,247
1020,1051,1262,247
957,1120,1265,247
969,1095,1207,247
940,1144,1299,247
1024,1062,1235,247
941,1119,1197,247
987,1026,1176,247
929,978,1173,247
965,1111,1164,247
872,1018,1167,247
1144,1123,1185,247
869,1028,1103,247
990,1138,1159,247
959,1067,1230,247
992,1064,1119,247
896,1004,988,247
900,984,1098,247
935,1228,1195,247
963,1116,1260,247
979,1016,1010,247
1045,1056,1145,247
924,1122,1118,247
1016,1109,1238,247
944,1090,1007,247
916,983,993,247
983,1110,1256,247
1035,1123,1198,247
979,1121,1147,247
860,1122,1053,247
994,1093,1061,247
906,1047,1058,247
869,1091,1194,247
911,1054,1190,247
925,1102,1184,247
962,1118,1274,247
1004,1181,1182,247
907,1042,1111,247
965,1142,1302,247
1009,1083,1110,247
942,1000,1158,247
924,1153,1355,247
999,1054,1110,247
936,1034,1102,247
994,1077,1231,247
1031,1153,1120,247
1042,1133,1137,247
872,1003,1085,247
984,1109,1054,247
965,1058,993,247
1033,1055,1105,247
975,1091,1217,247
985,1040,1127,247
897,973,1017,247
1011,1027,1139,247
994,1031,1185,247
962,1030,1038,247
1053,1017,1116,247
906,1027,1177,247
897,1018,1047,247
1032,997,1252,247
955,1003,1056,247
971,1052,1192,247
987,1068,1187,247
973,997,1026,247
903,1062,1213,247
907,1058,1049,247
976,1167,1122,247
875,1065,1171,247
918,1034,1025,247
948,1039,1263,247
945,1042,1100,247
963,1075,1132,247
952,1102,1233,247
991,1037,1068,247
980,1065,1028,247
861,1087,1028,247
1020,1126,1349,247
967,1010,1142,247
972,989,1144,247
880,1010,1091,247
1005,1057,1137,247
983,1089,1020,247
969,1006,1232,247
949,1194,1092,247
987,1184,1066,247
1002,1022,1157,247
945,993,970,247
941,1047,996,247
972,1093,1142,247
884,1043,1158,247
931,1052,1059,247
962,1009,1129,247
1002,1109,1230,247
1057,1141,1137,247
1026,1047,1268,247
1060,1072,1475,247
969,1044,1091,247
952,1059,1040,247
936,1153,1054,247
994,1113,1173,247
945,1051,1154,247
1050,1180,1127,247
929,1148,1222,247
929,1018,1117,247
962,1036,1085,247
997,1056,1228,247
956,1066,1098,247
1022,1122,1342,247
969,1055,1045,247
958,1105,1096,247
889,1035,1055,247
938,1098,1188,247
1014,1051,1156,247
985,1008,1221,247
933,1015,1211,247
972,1083,1157,247
958,982,1121,247
926,1007,1063,247
946,1128,1111,247
900,1062,1008,247
944,1043,1185,247
933,1000,975,247
989,1120,1168,247
965,1105,1170,247
949,981,1205,247
1054,1137,1185,247
947,1004,1008,247
971,987,1096,247
946,1121,1149,247
913,1067,1014,247
914,1079,1248,247
920,1047,1227,247
950,1075,1108,247
934,1030,1190,247
973,1056,1205,247
965,1065,1188,247
919,1080,1242,247
891,1048,1030,247
908,1025,1017,247
937,1034,1077,247
869,1101,1100,247
982,1085,1124,247
901,1030,1077,247
966,1053,1175,247
1014,1228,1285,247
948,1055,1264,247
1003,1039,1136,247
931,992,1074,247
1000,1157,1152,247
1061,1085,1341,247
1052,1038,1085,247
988,1083,1161,247
947,1104,1086,247
920,1101,1122,247
983,1048,1204,247
914,982,1016,247
981,1080,1160,247
910,1047,1088,247
921,1085,1069,247
1025,1091,1102,247
943,1157,1074,247
933,1055,1219,247
991,1102,1283,247
967,1108,1077,247
908,1120,1143,247
950,1177,1189,247
982,1048,1099,247
1009,1093,1252,247
906,1143,1176,247
963,1118,1094,247
934,1150,1154,247
980,1105,1344,247
984,1081,1054,247
854,952,1071,247
1001,1074,1146,247
971,996,1200,247
985,1036,1158,247
914,1045,1065,247
893,985,1109,247
972,1110,1136,247
1029,1098,1213,247
1025,1125,1242,247
971,1068,1251,247
1063,1110,1171,247
967,1091,1216,247
1018,1032,1084,247
915,1056,1155,247
1065,1034,1074,247
965,1076,1180,247
910,1048,1088,247
940,1138,1271,247
902,1127,1106,247
923,1089,1249,247
993,1056,1065,247
953,1070,1282,247
923,1082,1190,247
975,1103,1322,247
1019,1092,1139,247
953,1035,1261,247
981,1049,1088,247
894,1046,1149,247
903,1044,1267,247
1009,1030,1155,247
944,1054,1366,247
921,1047,1070,247
846,1054,1018,247
980,1137,1178,247
946,1064,1217,247
1013,1103,1175,247
1012,1029,1169,247
1000,1093,1180,247
856,1112,1046,247
954,989,1046,247
934,1075,1179,247
942,1031,996,247
996,1099,1279,247
949,1055,1160,247
938,1002,1138,247
913,1004,980,247
997,1055,1209,247
975,1120,1190,247
993,1049,1081,247
922,1054,1208,247
896,1075,1114,247
968,1080,1183,247
917,1057,1167,247
939,1115,1114,247
898,1035,1032,247
943,1016,1193,247
897,1112,1044,247
1022,1031,966,247
934,1070,1136,247
985,1103,1295,247
963,1106,1207,247
1050,1088,1235,247
954,1053,1113,247
921,1130,1374,247
1008,1151,1071,247
941,1104,1110,247
900,1091,1168,247
1107,1146,1332,247
897,1079,1046,247
937,1101,1160,247
1002,1117,1039,247
890,1043,1102,247
885,1062,1045,247
958,1064,1033,247
885,1085,1253,247
931,1160,1212,247
1010,1090,1014,247
970,1089,1183,247
969,1114,1203,247
1039,1114,1238,247
942,1049,1058,247
981,1092,1235,247
887,1102,1036,247
1022,1090,1025,247
928,1130,1034,247
948,1072,1116,247
1040,1104,1171,247
1002,1065,1216,247
931,1078,1074,247
907,1151,1061,247
1010,1119,1165,247
980,1173,1248,247
939,1051,1090,247
964,1042,1083,247
981,1098,1254,247
981,1004,1075,247
899,1058,1075,247
897,987,1188,247
