qiskit,linear,linear_reduced,shp_reduced,mst_reduced,shp,mst,random,random_reduced,graycode_reduced,qiskit_dense
462,1235,99,51,53,1216,1216,1235,82,58,99
492,1229,61,61,59,1227,1225,1225,96,79,95
468,1237,87,47,64,1222,1220,1244,88,69,107
482,1228,82,60,63,1228,1222,1236,67,61,74
480,1230,66,43,52,1222,1220,1238,82,73,90
460,1222,36,57,57,1222,1222,1240,111,64,70
480,1243,75,76,52,1219,1217,1236,91,58,73
494,1230,60,47,55,1219,1215,1239,80,70,73
478,1233,82,67,62,1222,1218,1231,92,69,90
476,1226,53,64,50,1221,1217,1240,59,52,114
460,1234,68,47,71,1223,1218,1236,81,57,77
484,1231,81,39,41,1213,1213,1237,97,36,66
468,1221,57,47,71,1220,1214,1226,78,69,85
486,1238,87,79,66,1224,1223,1237,122,62,86
482,1231,72,49,85,1228,1224,1238,83,60,113
492,1228,51,43,62,1221,1217,1240,113,67,105
470,1226,68,43,52,1219,1220,1233,81,61,75
484,1239,72,56,63,1222,1218,1227,87,51,76
494,1224,92,32,48,1214,1215,1241,105,66,85
486,1231,80,51,66,1216,1211,1246,108,85,65
494,1229,65,55,51,1224,1221,1238,98,50,78
480,1242,76,58,58,1221,1222,1238,87,81,102
438,1231,89,41,49,1216,1214,1234,114,70,102
494,1237,72,47,58,1226,1218,1238,72,68,93
474,1240,73,54,63,1224,1218,1237,74,69,74
494,1234,61,58,68,1227,1221,1235,85,66,98
484,1235,106,56,53,1228,1219,1230,88,62,82
454,1225,59,47,55,1221,1222,1238,89,49,55
494,1231,76,44,62,1219,1213,1234,98,38,128
486,1235,63,69,65,1226,1223,1245,85,57,84
482,1239,102,38,49,1221,1214,1243,78,81,64
454,1226,66,54,70,1219,1219,1228,88,81,70
482,1241,83,45,52,1224,1221,1251,82,68,118
454,1224,67,32,54,1216,1217,1227,84,52,76
472,1235,77,43,71,1216,1216,1235,96,57,86
448,1227,68,56,50,1222,1216,1242,95,70,71
494,1231,55,62,50,1221,1213,1235,81,57,119
482,1235,71,47,57,1219,1218,1234,91,77,95
488,1234,72,39,50,1214,1214,1240,81,83,73
456,1232,61,49,59,1225,1219,1237,90,46,85
486,1229,71,60,58,1216,1215,1235,85,67,72
494,1222,67,62,57,1217,1213,1239,85,49,87
462,1235,66,60,67,1224,1217,1244,88,55,80
494,1238,82,58,74,1222,1219,1233,79,71,90
494,1241,83,67,51,1223,1219,1242,109,66,105
432,1233,74,63,45,1221,1212,1230,100,45,113
494,1230,73,36,45,1218,1219,1242,100,52,88
452,1233,68,64,70,1230,1224,1228,104,65,68
494,1234,70,41,46,1217,1210,1233,95,64,111
488,1227,71,49,58,1223,1220,1237,100,99,76
484,1219,42,42,47,1217,1211,1233,80,58,88
