qiskit,shp_reduced,multiedge,qiskit_dense
502,2752,3718,2347
502,3131,3535,2741
502,2821,3762,2403
502,3057,4056,2300
502,3179,3742,2524
502,3221,3673,2598
502,2719,3633,2662
502,3100,3487,2844
502,2950,3579,2532
502,3045,3550,2476
502,2934,3837,2398
502,2865,3798,2413
502,3033,3696,2186
502,2786,4051,2487
502,3060,3473,2473
502,2765,3622,2309
502,2991,3699,2725
502,2700,3929,3014
502,3023,3898,2345
502,2891,3491,3063
502,3179,3556,2254
502,2777,3300,2803
502,2982,3241,2361
502,2981,3796,2685
502,3047,3315,2617
502,2972,3540,2307
502,2765,3463,2711
502,2896,3762,2851
502,3066,3344,2386
502,3130,3684,2522
502,3012,3735,2763
502,2910,3970,2250
502,2994,3808,2811
502,2926,3921,2697
502,3195,3586,2160
502,3028,3572,2583
502,3016,3868,2417
502,2785,3569,2498
502,3117,3734,2395
502,2806,3570,2092
502,2885,3829,2307
502,3154,3563,2650
502,2836,3703,2369
502,2875,3676,2092
502,2885,3515,2531
502,3023,4197,2542
502,2823,3705,2607
502,2989,3539,2273
502,2865,3202,2447
502,3408,3476,2290
502,2792,3604,2292
502,2907,4058,2701
502,2980,3678,2164
502,3145,4023,2837
502,3061,3496,2706
502,2982,3597,2416
502,2838,3301,2982
502,2668,3813,2108
502,3020,3522,2473
502,3422,3696,2556
502,2970,3661,2112
502,2835,3755,2701
502,3171,3459,2761
502,2712,3677,2378
502,3098,3491,2536
502,2853,3909,2529
502,3156,3440,2188
502,3240,3611,2724
502,3184,3673,2560
502,3145,3773,2616
502,2877,3688,2622
502,2954,3698,2230
502,2973,3410,1816
502,3138,3669,2225
502,2959,3911,2706
502,2977,3447,2703
502,3057,3815,2460
502,2871,3990,2226
502,2881,3626,2560
502,3238,3363,2126
502,2976,3551,2172
502,3219,3847,2458
502,2853,3752,2167
502,3124,3655,2328
502,2786,3439,2347
502,3059,3593,3032
502,2891,3302,2483
502,2716,3634,2640
502,2948,3696,2426
502,2979,3470,3120
502,3070,3620,2542
502,2622,3505,2952
502,3088,3970,2603
502,2753,3745,2364
502,3061,3987,2073
502,3124,3765,2934
502,3008,3747,2229
502,2935,3509,2582
502,3139,3628,2309
502,2831,3647,2475
502,2748,3888,2376
502,2934,3383,2673
502,2873,3796,2731
502,3116,3754,2768
502,2815,3558,2583
502,3004,3613,2723
502,3101,3564,2546
502,3155,3664,2723
502,2757,3860,2438
502,2891,3360,2465
502,3043,3378,2251
502,2767,3833,2412
502,3169,3707,2544
502,3201,3493,2319
502,2850,3592,2484
502,2879,3850,3072
502,3113,3449,2587
502,2973,3762,2775
502,3083,3291,2497
502,2914,3677,2447
502,2886,3590,2581
502,2964,3788,2754
502,2802,3973,2609
502,3180,3661,2144
502,3043,3455,2222
502,3195,3609,2503
502,2980,3662,2491
502,2948,3602,2242
502,2946,3421,2540
502,2706,3474,2285
502,3128,3672,2612
502,3042,3334,2970
502,2902,3454,2562
502,2963,3718,2361
502,2729,3697,2088
502,2823,3558,3170
502,2999,3556,2855
502,3063,3750,2070
502,2762,3557,2918
502,3004,3599,2063
502,3082,3612,2375
502,2941,3448,2547
502,3001,3262,2420
502,2984,3576,2609
502,2969,3506,2383
502,2935,3641,1856
502,2917,3715,2941
502,3057,3625,2434
502,3163,3468,2058
502,2960,3407,2331
502,3003,3714,2584
502,3215,3635,2481
502,3199,3764,2608
502,2875,3617,2189
502,3044,3221,2255
502,3227,3948,2652
502,2796,3868,2607
502,2884,3339,2052
502,2751,3746,2684
502,2847,3649,2843
502,3036,3718,2581
502,3056,3540,2346
502,2748,3656,2684
502,2979,3650,2725
502,2897,3827,2372
502,3038,3844,2560
502,3046,3871,2300
502,2752,3391,1931
502,2839,3657,2425
502,2896,3778,2048
502,3029,3392,2186
502,3072,3824,2202
502,2883,4047,2119
502,3361,3671,2377
502,3194,3336,2319
502,3055,3734,2196
502,2717,3486,2635
502,2900,3522,2688
502,3030,3486,2158
502,3061,3972,3254
502,3016,3423,2173
502,2636,3899,2542
502,2791,3571,2755
502,2999,3734,2248
502,3081,3890,2342
502,2871,3396,1996
502,3007,3331,2571
502,3120,3651,2790
502,2941,3757,2747
502,3333,3987,2349
502,2795,3646,2631
502,2905,3713,2298
502,3203,3456,2631
502,2978,3549,2495
502,2794,3600,2958
502,2774,3632,2711
502,3033,3666,2569
502,2821,4043,2412
502,2990,3450,2756
502,2904,3480,2798
502,2804,3701,2761
502,3156,3427,2425
502,2793,3604,2594
502,2958,3526,2853
502,2953,3482,2345
502,2821,3635,2430
502,2991,3359,2599
502,3115,3556,2743
502,2777,3433,2450
502,2900,3437,3064
502,2939,3788,2785
502,2973,3829,2930
502,2779,3355,2489
502,2848,3708,2212
502,3004,3900,2729
502,3113,3697,2173
