qiskit,linear,linear_reduced,shp_reduced,mst_reduced,shp,mst,random,random_reduced,graycode_reduced,gleinig,gleinig_qwalk,btree_qwalk,greedy_linear,hamming_weight_qwalk
502,1813,81,79,80,1805,1795,1811,98,69,44,73,56,45,74
502,1801,72,79,78,1800,1793,1819,94,66,50,60,73,60,58
502,1807,94,80,59,1795,1791,1817,142,74,49,63,74,48,69
502,1814,129,66,76,1796,1785,1820,140,87,47,125,76,62,116
502,1817,101,57,83,1798,1791,1815,125,80,34,77,49,63,63
502,1812,80,65,70,1793,1789,1820,126,82,48,88,65,56,75
502,1804,81,89,71,1804,1798,1815,100,76,48,67,70,55,68
502,1811,85,71,87,1804,1795,1814,82,97,45,91,66,63,77
502,1814,84,79,94,1802,1795,1814,104,85,45,59,78,63,87
478,1814,112,67,65,1793,1789,1832,93,113,42,110,56,78,93
502,1807,82,64,75,1796,1795,1814,117,98,52,80,73,58,81
502,1805,65,74,79,1793,1788,1810,94,64,47,71,51,52,68
502,1808,106,62,88,1795,1787,1806,98,79,50,98,65,67,82
502,1801,70,60,57,1794,1794,1829,114,118,47,108,70,65,73
500,1824,101,73,70,1798,1798,1819,101,75,34,103,47,57,81
502,1800,64,65,71,1798,1796,1811,143,64,45,107,68,60,94
502,1817,102,75,84,1801,1798,1813,97,74,46,74,65,49,96
502,1808,85,59,68,1791,1788,1827,94,84,29,81,51,64,81
502,1818,78,69,90,1803,1798,1812,90,71,40,91,58,67,88
502,1806,93,60,66,1792,1791,1829,94,113,42,81,59,48,120
472,1800,109,65,68,1788,1787,1801,117,83,46,115,56,57,104
502,1812,80,55,73,1799,1791,1814,117,67,35,88,52,67,90
502,1816,102,59,65,1791,1789,1803,102,81,39,96,51,64,88
502,1807,82,64,80,1796,1788,1814,93,83,46,79,70,64,69
502,1817,85,64,72,1795,1793,1816,148,64,43,82,61,69,80
502,1816,83,57,59,1798,1796,1820,130,82,43,88,55,61,58
502,1801,93,75,76,1794,1789,1800,100,93,50,94,76,63,100
502,1812,100,73,69,1795,1795,1815,106,91,50,61,79,69,72
502,1808,72,62,88,1797,1795,1818,87,102,52,63,69,64,100
502,1811,118,62,60,1794,1788,1824,98,94,40,88,64,49,125
502,1806,92,61,64,1794,1784,1804,106,88,37,37,59,49,113
502,1799,65,80,97,1803,1799,1812,93,96,49,102,94,57,59
502,1802,77,57,57,1796,1788,1828,125,87,46,98,57,68,100
502,1822,108,66,67,1794,1792,1816,122,87,51,97,72,60,66
502,1824,113,85,107,1806,1793,1820,92,91,42,74,61,81,119
502,1813,93,87,74,1804,1799,1827,123,81,56,79,73,68,76
500,1806,89,81,66,1795,1790,1818,84,91,45,71,63,95,130
502,1797,69,77,71,1791,1790,1822,127,73,39,80,61,68,88
502,1814,89,61,64,1794,1793,1818,101,72,39,68,53,63,95
502,1815,93,55,97,1799,1797,1821,119,89,47,93,60,57,75
502,1814,76,63,78,1799,1797,1832,77,67,46,86,65,66,98
502,1808,90,53,68,1793,1793,1812,129,83,46,78,68,58,81
502,1795,70,86,73,1789,1786,1811,94,66,42,93,63,61,75
502,1810,95,69,77,1794,1787,1805,80,62,41,84,83,65,77
502,1806,84,77,85,1800,1789,1816,107,139,45,72,48,76,81
502,1806,92,63,62,1793,1792,1823,148,74,40,72,52,50,105
502,1817,96,87,89,1801,1799,1815,92,97,46,131,58,60,94
502,1797,73,87,81,1804,1792,1808,99,84,51,77,63,61,58
502,1805,90,57,59,1790,1781,1812,110,49,41,75,57,44,91
494,1808,92,64,75,1794,1791,1814,117,76,33,75,52,43,78
502,1812,97,65,70,1799,1797,1815,104,102,51,70,78,66,100
502,1829,107,82,81,1805,1799,1805,118,89,40,117,80,65,68
502,1811,102,75,80,1796,1790,1800,135,71,34,85,51,51,157
500,1804,80,64,70,1794,1792,1820,127,68,37,71,65,57,59
502,1803,88,55,60,1790,1786,1810,131,70,34,102,45,51,109
502,1807,86,76,76,1799,1796,1816,110,77,43,89,59,66,82
502,1813,89,76,79,1798,1796,1810,108,88,52,100,69,66,85
502,1803,79,73,80,1795,1791,1813,112,68,42,86,62,65,79
502,1811,111,83,79,1802,1792,1820,119,90,44,103,71,58,86
502,1797,75,71,72,1793,1788,1810,118,81,39,54,50,52,66
502,1817,117,49,60,1789,1787,1821,123,85,38,82,63,75,76
502,1799,79,49,42,1788,1784,1814,74,68,41,65,42,50,65
502,1819,97,79,76,1802,1794,1816,133,86,51,99,60,63,80
502,1799,73,55,69,1797,1791,1812,93,85,41,76,71,65,82
502,1802,90,86,71,1798,1787,1824,118,74,33,51,46,65,107
502,1798,88,55,54,1788,1781,1819,114,80,39,85,55,68,98
502,1813,85,74,73,1799,1793,1816,127,81,36,72,55,61,97
502,1808,87,103,66,1806,1797,1824,88,87,41,104,73,65,83
502,1811,87,68,91,1812,1792,1803,96,85,43,74,53,63,47
502,1821,84,71,81,1792,1790,1823,95,80,35,77,60,72,86
502,1808,84,86,70,1796,1793,1813,101,72,47,84,82,61,95
502,1800,66,65,73,1794,1787,1817,145,77,41,61,53,61,67
502,1809,85,75,88,1799,1790,1818,78,112,35,83,44,60,62
502,1816,81,69,96,1802,1798,1814,99,67,53,75,60,62,89
502,1814,84,71,72,1791,1789,1814,134,73,43,67,64,71,71
480,1799,76,68,59,1788,1789,1814,97,74,38,45,68,65,155
502,1818,102,64,65,1800,1796,1824,105,90,40,76,74,67,137
502,1810,66,102,70,1802,1789,1823,142,70,45,115,60,50,59
502,1803,70,53,85,1794,1790,1823,154,55,40,85,98,61,69
502,1809,75,64,66,1796,1795,1831,96,89,53,87,67,66,76
502,1800,78,79,98,1802,1797,1816,107,93,41,85,61,77,103
502,1798,75,71,88,1792,1785,1810,100,81,44,76,72,56,82
502,1814,87,84,76,1800,1798,1818,91,87,44,63,71,78,103
502,1816,93,77,81,1802,1795,1826,97,91,41,97,62,66,104
502,1816,101,51,63,1792,1789,1818,112,87,30,52,43,60,108
502,1810,94,72,65,1791,1789,1816,172,66,51,110,91,60,82
502,1810,109,84,96,1807,1797,1810,109,100,54,111,72,67,85
502,1805,82,84,76,1798,1789,1810,121,97,44,86,58,51,80
502,1809,102,66,70,1800,1793,1819,107,77,50,86,73,73,130
376,1798,82,61,64,1788,1783,1803,100,81,46,136,56,59,87
502,1804,79,77,67,1798,1797,1826,109,72,37,80,50,50,81
502,1807,82,60,67,1794,1793,1817,105,65,42,81,60,73,57
502,1807,95,57,66,1787,1786,1803,116,71,50,97,78,57,119
502,1815,103,72,86,1793,1795,1821,101,110,51,89,80,75,69
502,1810,96,59,64,1793,1792,1818,115,95,49,61,71,71,83
502,1809,87,66,79,1801,1791,1819,119,105,50,83,62,70,86
502,1810,86,66,76,1797,1793,1830,99,81,42,78,58,77,119
502,1807,83,82,82,1804,1799,1816,108,104,42,100,84,82,89
502,1809,85,72,82,1798,1793,1819,116,84,44,76,64,63,82
502,1804,82,47,55,1787,1786,1810,91,74,30,97,44,60,62
502,1820,106,94,88,1804,1801,1820,124,106,56,78,92,75,86
502,1826,83,57,79,1799,1797,1820,107,99,49,85,60,68,82
502,1805,74,71,67,1802,1796,1815,106,84,41,64,68,66,114
502,1821,100,87,101,1799,1794,1816,117,81,44,77,73,66,70
486,1826,101,74,82,1800,1796,1815,136,72,40,80,54,53,87
502,1808,94,79,81,1801,1793,1830,108,96,47,75,69,70,83
502,1817,106,66,72,1795,1794,1808,104,87,44,72,78,76,96
502,1815,82,70,101,1805,1797,1810,95,70,50,85,62,54,79
502,1806,94,71,59,1793,1792,1813,119,84,45,102,60,63,71
502,1811,77,49,76,1792,1789,1823,130,85,50,57,71,69,81
502,1812,82,80,69,1802,1800,1822,93,82,43,76,54,66,82
502,1800,74,59,72,1791,1789,1809,106,72,38,72,53,59,56
502,1829,107,64,83,1799,1793,1818,107,104,48,104,69,62,103
502,1803,63,88,82,1801,1796,1807,115,123,41,83,70,65,65
502,1813,82,68,78,1798,1795,1811,121,96,43,74,70,65,59
502,1817,91,86,93,1802,1794,1809,118,118,53,91,57,70,64
502,1807,83,69,71,1792,1791,1822,120,97,32,104,50,54,102
502,1810,118,57,77,1796,1792,1824,136,88,44,80,57,61,98
502,1804,101,80,76,1794,1786,1808,104,64,46,107,70,51,82
496,1808,85,60,79,1793,1792,1820,78,77,43,74,45,44,75
502,1802,106,55,69,1789,1786,1820,92,81,37,68,50,54,120
502,1808,92,70,75,1791,1784,1812,118,87,50,79,64,61,90
502,1816,111,77,90,1801,1793,1815,117,113,53,78,70,64,83
502,1818,104,83,92,1806,1798,1819,92,102,43,104,56,56,71
502,1820,109,84,90,1802,1799,1817,108,106,47,81,62,82,96
502,1804,63,55,75,1796,1792,1817,139,61,38,78,48,53,80
502,1811,83,86,98,1801,1794,1810,123,101,56,84,68,64,87
502,1808,76,73,77,1794,1787,1820,111,93,31,82,61,65,71
502,1822,90,72,91,1807,1797,1819,99,84,46,71,77,60,70
502,1810,71,68,73,1800,1797,1810,108,82,47,85,61,59,51
500,1798,85,36,53,1785,1782,1814,140,42,23,77,42,34,107
498,1812,96,68,65,1799,1791,1821,115,68,44,82,73,74,94
502,1813,100,92,79,1796,1795,1820,86,68,41,125,62,53,107
502,1822,93,78,89,1802,1798,1818,123,101,42,85,82,70,77
502,1807,71,75,72,1798,1791,1808,94,104,41,89,58,57,95
502,1812,99,51,60,1793,1794,1820,107,71,40,86,44,98,96
502,1803,92,77,92,1798,1796,1820,122,75,39,106,60,56,66
502,1803,80,44,73,1794,1789,1811,115,97,39,70,50,49,135
502,1816,111,80,78,1795,1787,1814,100,79,41,78,53,53,82
500,1812,81,66,74,1799,1795,1815,137,81,41,62,50,53,87
502,1805,109,53,86,1796,1788,1819,93,103,42,77,65,65,81
502,1814,97,71,80,1796,1792,1820,138,126,46,73,60,52,86
502,1801,79,73,69,1794,1788,1831,89,95,34,61,48,68,88
502,1810,87,75,71,1799,1796,1819,124,87,40,97,58,64,130
502,1815,113,60,69,1800,1796,1819,122,97,34,97,51,73,100
500,1802,70,74,60,1794,1787,1807,117,85,40,37,53,58,79
500,1806,79,68,79,1793,1789,1806,115,85,32,91,49,69,60
502,1807,94,67,78,1798,1789,1818,118,70,33,89,61,67,88
502,1804,70,66,73,1799,1792,1816,113,66,38,76,60,58,121
502,1820,103,73,86,1809,1795,1818,123,93,46,93,64,79,70
502,1808,74,70,70,1792,1786,1811,77,65,43,57,62,54,100
502,1825,125,57,64,1790,1790,1826,100,98,42,83,60,48,94
502,1813,87,74,90,1805,1798,1815,105,93,43,120,62,70,115
502,1814,92,73,69,1793,1787,1814,103,85,37,93,47,48,74
502,1810,91,86,78,1799,1793,1816,115,72,50,109,78,53,99
500,1825,90,79,91,1801,1796,1818,142,94,50,89,83,64,81
502,1818,105,64,70,1795,1795,1801,126,68,43,96,66,67,95
502,1824,120,76,71,1800,1796,1824,112,95,42,111,56,65,106
502,1804,81,60,70,1791,1786,1825,113,57,47,70,52,54,61
502,1814,70,75,75,1795,1788,1820,119,82,44,96,63,54,81
248,1805,72,56,64,1789,1786,1805,107,76,36,79,48,63,97
502,1807,67,58,59,1791,1788,1816,109,111,40,89,47,62,80
502,1802,79,60,57,1791,1789,1817,119,83,35,55,61,55,70
502,1814,75,77,70,1800,1793,1807,123,93,45,88,51,49,58
502,1813,80,88,88,1803,1800,1814,123,101,49,87,68,65,74
502,1809,87,71,73,1806,1793,1810,99,82,49,87,63,76,84
476,1812,112,72,82,1803,1799,1821,82,95,40,94,76,69,68
500,1817,105,77,83,1799,1796,1815,117,102,37,94,61,62,107
502,1795,56,53,69,1792,1791,1817,129,70,39,62,58,49,76
502,1807,76,51,71,1790,1790,1822,102,74,40,67,57,59,89
502,1810,83,75,67,1799,1796,1809,93,90,42,68,64,66,122
502,1811,97,85,79,1807,1794,1813,102,86,42,77,71,67,67
502,1812,89,75,72,1800,1793,1825,134,85,46,98,59,62,75
502,1816,104,73,95,1797,1796,1819,122,108,47,91,70,55,107
502,1816,94,100,91,1803,1794,1830,109,107,35,80,60,70,82
502,1816,114,76,77,1798,1795,1815,93,105,50,65,75,81,90
502,1801,97,68,73,1798,1791,1808,99,78,39,79,73,68,62
502,1803,81,67,84,1799,1795,1821,110,92,39,106,55,60,87
502,1809,85,66,75,1806,1794,1826,79,101,39,80,67,70,65
502,1800,80,51,49,1790,1789,1811,91,79,40,78,57,59,62
502,1809,87,75,80,1801,1794,1812,105,87,43,81,58,62,95
502,1815,84,65,62,1786,1785,1815,107,91,44,73,69,48,79
502,1800,68,79,66,1801,1794,1809,116,82,39,77,57,59,77
502,1828,105,83,79,1805,1801,1818,108,107,57,82,83,81,102
502,1813,97,81,79,1802,1798,1814,124,98,49,89,98,82,146
502,1811,91,66,82,1797,1792,1811,147,96,47,78,68,47,78
502,1815,93,84,67,1795,1784,1823,108,86,37,72,58,71,107
502,1809,89,66,72,1796,1791,1811,123,100,42,90,62,66,125
502,1811,87,64,83,1795,1789,1810,111,92,46,92,83,72,75
502,1805,85,117,68,1799,1793,1818,101,81,32,84,67,53,69
502,1811,91,75,74,1798,1789,1824,116,79,34,80,55,59,89
502,1812,88,59,50,1791,1784,1797,105,59,31,73,34,66,90
502,1814,86,74,84,1805,1794,1814,122,91,54,64,79,55,73
502,1814,92,80,65,1795,1794,1814,111,86,44,75,74,69,68
502,1795,80,76,66,1791,1786,1815,101,73,35,47,57,74,44
502,1812,76,89,88,1803,1797,1824,94,76,45,82,62,65,70
502,1811,85,57,74,1801,1796,1822,100,84,44,69,64,72,71
502,1804,67,51,71,1791,1792,1810,117,76,36,72,58,50,59
502,1809,85,66,79,1799,1794,1818,124,79,43,115,86,73,99
502,1816,113,75,73,1801,1797,1821,106,99,50,69,100,67,74
502,1808,81,70,92,1802,1797,1829,87,82,51,97,81,76,81
502,1807,84,55,57,1794,1793,1811,114,94,35,73,63,48,114
502,1804,71,66,78,1798,1793,1810,111,85,46,85,68,62,48
502,1815,93,64,83,1796,1792,1807,128,85,50,112,75,55,77
502,1817,86,70,85,1800,1799,1821,96,67,41,88,63,69,72
502,1830,116,66,67,1799,1795,1826,108,109,43,101,65,55,94
502,1810,70,62,76,1793,1787,1818,111,85,50,92,58,64,81
502,1796,84,44,60,1786,1784,1814,96,57,38,77,56,52,58
502,1807,92,75,68,1797,1791,1820,143,98,41,110,54,79,102
502,1812,87,73,74,1796,1794,1820,136,75,44,83,61,80,56
502,1816,90,76,98,1803,1796,1806,113,99,53,114,68,61,75
502,1812,94,55,65,1795,1790,1816,128,87,34,71,59,60,75
502,1802,79,68,100,1800,1796,1818,114,98,37,69,54,101,84
502,1810,85,77,64,1802,1799,1825,114,109,43,88,50,59,73
502,1804,81,73,71,1794,1791,1817,97,88,38,71,58,64,65
502,1812,90,52,72,1796,1792,1832,120,79,39,89,68,56,65
502,1819,103,64,75,1799,1797,1826,104,92,39,98,66,67,118
502,1805,61,66,67,1798,1790,1809,132,59,36,80,50,68,73
500,1808,67,69,57,1794,1792,1808,95,88,50,100,76,61,117
502,1812,109,66,75,1798,1792,1817,90,79,47,62,73,64,97
502,1813,88,55,77,1797,1797,1830,110,90,45,108,79,69,88
502,1810,94,80,66,1804,1799,1813,134,79,43,99,67,60,119
502,1824,117,90,78,1804,1798,1823,89,89,55,68,62,66,114
502,1820,118,72,86,1806,1798,1833,122,89,43,84,79,82,96
502,1810,104,75,65,1795,1789,1814,132,92,41,67,57,74,92
502,1809,76,100,89,1811,1798,1813,104,93,55,98,66,66,92
502,1816,98,70,85,1800,1797,1830,129,69,42,113,83,52,82
502,1813,89,64,79,1798,1794,1828,124,93,44,91,72,54,88
502,1819,97,77,74,1804,1798,1809,100,83,43,104,67,61,71
502,1815,80,81,76,1803,1790,1814,118,87,51,65,66,61,55
502,1798,75,62,68,1796,1788,1808,88,103,47,81,70,55,55
502,1818,77,72,76,1806,1800,1813,122,87,52,97,76,77,73
502,1807,74,75,97,1800,1796,1815,123,84,39,110,58,55,98
502,1805,92,65,76,1797,1791,1819,128,83,44,77,49,74,118
502,1806,76,75,68,1803,1800,1825,106,70,40,86,68,54,108
492,1826,99,81,80,1804,1796,1813,120,87,41,106,79,70,95
502,1823,88,62,74,1796,1794,1822,102,93,43,90,61,66,70
502,1816,95,79,88,1804,1801,1814,117,105,53,108,84,70,90
502,1816,116,77,73,1799,1794,1810,119,97,42,69,55,65,82
502,1804,92,70,75,1801,1795,1826,118,85,39,100,73,64,94
502,1813,100,72,67,1796,1794,1819,93,88,41,67,58,67,102
502,1815,89,63,79,1799,1796,1826,113,85,45,84,68,77,104
502,1806,85,53,93,1793,1789,1807,153,77,34,79,44,51,79
502,1807,95,86,78,1799,1795,1810,126,87,44,88,69,72,117
502,1811,94,71,63,1799,1791,1814,110,63,42,82,74,77,87
502,1816,102,58,70,1801,1795,1828,144,86,54,116,83,80,130
502,1818,92,66,76,1794,1794,1830,130,98,42,76,87,66,94
502,1823,119,66,63,1797,1791,1811,111,80,44,121,72,59,96
502,1804,72,76,73,1797,1792,1809,90,74,36,82,63,77,97
502,1819,116,60,67,1792,1793,1804,136,59,38,83,75,55,113
502,1800,69,58,73,1795,1791,1815,96,83,45,65,51,75,75
502,1812,80,83,80,1805,1798,1814,108,125,43,87,57,66,99
502,1799,62,51,65,1794,1786,1814,172,53,46,108,59,51,126
502,1795,71,56,76,1787,1784,1806,133,107,33,125,53,55,63
502,1815,92,71,77,1805,1799,1815,126,69,46,102,58,63,127
502,1811,97,83,57,1795,1790,1824,132,102,41,80,59,78,93
502,1799,65,64,83,1798,1790,1817,84,78,41,70,56,66,61
502,1816,85,70,76,1801,1794,1828,116,102,40,108,78,61,72
502,1812,76,92,87,1806,1796,1824,76,74,50,68,57,68,70
502,1810,76,74,78,1796,1790,1813,83,88,40,85,58,58,78
502,1811,113,72,75,1795,1794,1823,110,91,41,86,63,66,92
502,1794,69,58,65,1790,1786,1808,92,65,36,63,47,55,127
502,1812,91,77,79,1801,1802,1811,98,83,41,78,59,68,79
502,1809,71,98,91,1802,1800,1821,97,72,49,75,76,55,99
502,1803,84,41,59,1785,1779,1808,121,145,34,134,46,53,98
502,1811,89,68,79,1799,1796,1830,104,97,57,84,78,63,57
502,1814,90,64,63,1796,1790,1821,88,57,45,68,64,62,76
502,1803,71,70,78,1799,1792,1825,129,103,52,65,64,55,114
502,1817,85,73,93,1798,1792,1810,108,82,52,99,65,87,72
502,1805,71,58,59,1792,1788,1821,129,78,39,65,51,79,91
502,1815,93,81,82,1803,1792,1806,114,95,40,110,67,77,93
502,1808,94,77,68,1800,1792,1833,86,70,41,129,57,74,98
502,1815,91,87,82,1802,1796,1817,84,90,39,106,60,77,108
488,1813,86,64,79,1796,1796,1821,124,103,45,94,58,59,118
502,1810,86,75,77,1797,1793,1812,107,111,44,94,73,64,66
502,1817,75,62,74,1795,1792,1830,150,104,45,94,68,63,98
502,1805,93,64,80,1795,1787,1818,126,80,37,101,71,58,67
502,1818,94,68,67,1799,1792,1808,118,80,51,77,96,63,76
502,1802,60,73,63,1796,1796,1822,120,69,43,76,54,49,65
502,1804,75,60,72,1794,1788,1802,95,89,42,88,62,52,91
