shp,qiskit,qiskit_dense,merging_states,average_degree
768,1001,29,594,4.0
765,759,27,592,4.0
765,737,28,593,4.0
766,695,27,592,4.0
765,919,27,592,4.0
766,889,28,593,4.0
767,861,28,593,4.0
764,993,27,592,4.0
765,635,27,592,4.0
766,983,27,592,4.0
768,253,28,593,4.0
765,743,27,592,4.0
734,180,26,590,5.0
765,333,27,592,4.0
764,983,27,592,4.0
773,951,30,595,4.0
767,1013,29,594,4.0
769,1013,30,595,4.0
771,457,29,594,4.0
765,781,27,592,4.0
765,491,28,593,4.0
765,845,27,592,4.0
767,807,28,593,4.0
765,907,27,592,4.0
771,495,29,594,4.0
767,599,29,594,4.0
768,1013,31,596,4.0
773,997,30,596,4.0
765,951,28,593,4.0
767,723,29,594,4.0
765,939,28,593,4.0
766,887,28,593,4.0
771,441,29,594,4.0
767,401,29,594,4.0
764,824,27,592,4.0
766,873,27,592,4.0
767,503,28,593,4.0
735,951,26,591,5.0
768,643,29,594,4.0
767,987,30,595,4.0
736,941,26,591,5.0
736,701,26,591,5.0
770,729,29,594,4.0
735,311,26,591,5.0
766,405,27,592,4.0
767,889,29,594,4.0
770,945,29,594,4.0
766,159,28,593,4.0
765,729,28,593,4.0
765,983,28,593,4.0
771,997,29,594,4.0
767,877,28,593,4.0
768,391,29,594,4.0
766,991,27,592,4.0
738,433,26,591,5.0
767,951,28,593,4.0
767,997,30,595,4.0
765,974,28,593,4.0
738,828,26,591,5.0
765,489,27,592,4.0
765,135,27,592,4.0
765,1011,28,593,4.0
766,951,27,592,4.0
765,377,27,592,4.0
765,768,27,592,4.0
767,259,30,595,4.0
766,753,27,592,4.0
770,76,29,594,4.0
768,1013,30,595,4.0
765,565,28,593,4.0
767,951,29,594,4.0
767,749,28,593,4.0
766,993,27,592,4.0
767,675,28,593,4.0
770,563,29,594,4.0
768,639,28,593,4.0
767,503,28,593,4.0
767,895,28,593,4.0
765,249,27,592,4.0
767,988,29,594,4.0
771,279,29,594,4.0
768,645,28,593,4.0
770,767,29,594,4.0
771,881,29,594,4.0
767,503,29,594,4.0
765,896,27,592,4.0
736,724,26,591,5.0
738,583,26,591,5.0
768,329,28,593,4.0
734,779,26,591,5.0
769,447,30,595,4.0
766,643,28,593,4.0
768,984,28,593,4.0
766,629,28,593,4.0
765,937,27,592,4.0
768,481,28,593,4.0
768,259,28,593,4.0
770,389,29,594,4.0
772,509,30,595,4.0
769,1013,30,595,4.0
