qiskit_dense,shp,qiskit,merging_states,average_degree
773,644,247,334,1.25
705,527,247,321,1.0625
606,589,247,333,1.0625
516,692,247,308,1.0625
673,614,247,305,1.0625
655,684,247,324,0.9375
522,759,247,345,1.0625
566,717,247,327,0.625
655,689,247,305,1.1875
637,688,247,299,1.25
648,639,247,344,1.0625
678,705,247,320,0.8125
756,688,247,360,0.9375
598,603,247,299,1.0
693,726,247,344,0.9375
501,623,247,272,1.125
513,750,247,346,0.875
669,506,247,338,1.25
630,689,247,315,1.3125
818,641,247,303,1.6875
661,705,247,300,1.1875
709,736,247,333,0.625
686,711,247,291,0.9375
704,723,247,392,0.75
705,633,247,321,0.9375
603,802,247,310,0.75
614,673,247,317,0.875
678,680,247,335,0.6875
751,678,247,336,1.1875
627,750,247,328,0.625
732,608,247,310,0.9375
644,610,247,351,1.0625
639,657,247,326,0.875
591,719,247,260,1.25
559,762,247,321,0.5625
665,793,247,299,0.8125
554,682,247,297,0.8125
528,586,247,307,1.25
542,635,247,316,1.125
700,585,247,307,1.125
606,656,247,349,0.75
557,733,247,337,1.0
691,739,247,319,0.8125
588,702,247,359,1.0
737,591,247,300,1.0
646,677,247,289,1.0625
453,563,247,330,1.375
617,766,247,305,1.0625
682,639,247,324,0.9375
646,786,247,328,0.875
735,689,247,293,0.9375
616,731,247,351,1.0
610,699,247,289,1.0625
506,737,247,259,1.5625
668,686,247,306,0.9375
603,716,247,346,0.875
598,732,247,317,0.9375
548,667,247,332,1.125
638,703,247,323,1.125
703,668,247,290,0.875
648,583,247,348,0.6875
700,707,247,366,0.8125
696,677,247,323,0.6875
630,697,247,343,0.875
512,612,247,309,1.25
647,752,247,327,0.9375
604,689,247,325,1.0625
652,651,247,347,0.75
771,776,247,356,0.4375
576,651,247,304,1.0
616,598,247,285,1.0625
685,699,247,295,1.0625
520,627,247,303,1.3125
707,664,247,365,1.0625
706,732,247,352,0.5625
602,723,247,287,0.9375
694,677,247,328,0.8125
618,653,247,290,1.0625
859,582,247,326,0.9375
558,731,247,289,1.3125
654,685,247,330,0.75
623,669,247,311,1.0
523,600,247,321,1.0
626,740,247,355,0.5625
612,715,247,330,1.0
611,713,247,315,0.8125
758,611,247,332,0.75
532,708,247,346,0.875
573,615,247,389,0.9375
721,689,247,301,1.3125
460,706,247,272,1.4375
799,746,247,321,1.0
583,723,247,309,1.0625
715,710,247,302,1.1875
611,625,247,329,0.8125
642,698,247,310,1.0625
660,725,247,306,0.9375
770,755,247,273,1.3125
743,689,247,344,1.0625
811,607,247,320,0.875
