qiskit_dense,qiskit,shp,merging_states,average_degree
478,488,545,327,2.375
264,502,589,325,2.25
134,502,493,363,2.125
119,502,551,355,2.125
273,502,610,344,2.25
128,502,508,435,2.625
179,502,569,377,2.125
296,502,598,358,2.375
170,502,616,362,2.375
414,502,561,386,2.5625
206,502,544,338,2.375
450,502,432,340,2.375
196,502,657,364,2.375
101,502,545,381,2.5
313,502,664,397,2.3125
318,502,549,322,2.25
274,502,596,338,2.125
208,502,529,320,2.25
198,502,595,414,2.0
353,478,461,341,2.5625
161,502,627,362,2.375
533,502,602,331,2.1875
365,502,563,346,2.0625
261,502,568,338,2.5
556,502,509,368,2.25
195,502,683,311,2.875
200,502,557,410,2.125
215,502,481,313,3.0
402,502,697,427,2.125
134,502,621,323,2.5
210,502,605,348,2.0
341,502,619,339,2.5
458,502,595,330,2.375
200,502,522,376,2.5
361,502,524,291,2.5
231,502,696,337,2.125
184,502,519,319,2.625
399,502,549,364,2.375
353,502,681,306,2.5
158,502,579,365,2.25
346,502,590,386,2.375
375,376,608,347,2.125
135,502,447,341,2.375
342,502,508,332,2.25
330,502,594,292,2.375
222,502,598,346,2.125
183,502,574,321,2.625
368,502,543,301,2.4375
194,502,517,388,2.125
136,502,549,357,2.5
147,470,608,310,2.1875
282,502,534,348,2.1875
164,502,623,381,2.75
305,502,541,353,2.625
233,502,529,341,2.375
170,502,641,342,2.125
330,502,464,310,2.3125
196,502,582,342,2.375
108,472,552,349,2.625
384,502,509,383,2.375
448,502,423,292,2.3125
621,502,618,307,2.25
326,502,483,311,2.75
454,502,516,342,2.0
460,502,463,285,2.4375
152,440,662,407,2.375
342,502,529,332,2.125
262,502,454,341,2.5
420,502,554,308,2.1875
248,502,582,381,2.3125
405,502,578,319,2.25
218,502,489,362,2.5
476,502,548,304,2.375
227,502,547,360,2.5
271,502,541,294,2.25
220,440,475,328,2.375
259,502,603,407,2.5
360,502,575,288,2.5
157,502,537,343,2.5
290,502,554,370,2.0625
162,502,613,402,2.25
281,502,593,430,2.125
185,502,598,317,2.75
582,502,507,306,2.625
183,502,470,314,2.5
132,500,608,385,2.125
444,502,504,300,3.0
92,502,613,420,2.0
383,502,548,323,2.625
558,502,522,283,2.4375
326,502,595,333,2.375
245,502,622,354,2.375
411,502,588,336,2.375
307,502,580,389,2.5
388,502,508,338,2.5
293,502,570,328,2.625
85,502,633,412,2.5
281,502,477,301,2.4375
731,502,659,340,2.125
238,502,558,305,2.6875
