qiskit_dense,merging_states,qiskit,average_degree,pairwise_swap
780,316,1013,0.3125,1095
675,341,1013,0.25,1176
840,339,1013,0.375,1153
784,349,1013,0.375,1130
710,313,1013,0.25,1212
805,339,1013,0.25,1142
673,308,1013,0.375,1156
693,301,1013,0.4375,1104
666,322,1013,0.125,1178
587,318,1013,0.125,1170
784,279,1013,0.375,988
822,331,1013,0.25,1146
705,308,1013,0.125,1235
669,330,1013,0.1875,1092
716,336,1013,0.25,1162
843,338,1013,0.0625,1281
735,352,1013,0.375,995
699,291,1013,0.625,1147
837,316,1013,0.25,1112
771,328,1013,0.3125,1239
728,285,1013,0.3125,1226
733,342,1013,0.0625,1070
779,322,1013,0.3125,1062
634,305,1013,0.5,1150
645,330,1013,0.375,1118
601,335,1013,0.25,1104
839,300,1013,0.25,1148
849,315,1013,0.25,1277
625,299,1013,0.1875,1108
724,367,1013,0.125,1186
754,301,1013,0.3125,1085
761,309,1013,0.25,1220
537,314,1013,0.5,1105
750,314,1013,0.3125,1259
672,396,1013,0.25,1201
692,317,1013,0.3125,1129
750,362,1013,0.375,1214
589,282,1013,0.375,977
747,300,1013,0.3125,1138
944,340,1013,0.1875,1231
754,332,1013,0.3125,1221
708,378,1013,0.1875,1133
743,359,1013,0.4375,1128
683,315,1013,0.4375,974
609,342,1013,0.25,1216
602,341,1013,0.4375,1165
568,307,1013,0.375,1116
752,354,1013,0.3125,1056
634,331,1013,0.1875,1246
659,314,1013,0.4375,1125
713,352,1013,0.1875,1137
667,325,1013,0.125,1173
728,289,1013,0.4375,1197
795,360,1013,0.125,1160
743,402,1013,0.125,1154
665,324,1013,0.25,1313
705,343,1013,0.25,1118
643,321,1013,0.5,1024
669,331,1013,0.375,1133
740,337,1013,0.4375,1025
752,296,1013,0.1875,1140
654,346,1013,0.25,1044
766,332,1013,0.1875,1223
701,325,1013,0.25,1122
629,279,1013,0.3125,1188
642,320,1013,0.3125,1124
724,328,1013,0.1875,1132
657,340,1013,0.375,1139
743,285,1013,0.3125,1077
729,292,1013,0.1875,1145
763,332,1013,0.1875,1140
548,320,1013,0.4375,1179
801,280,1013,0.125,1116
748,328,1013,0.25,1118
675,335,1013,0.125,1242
529,356,1013,0.0625,1119
749,289,1013,0.3125,1263
762,350,1013,0.3125,1134
728,349,1013,0.0625,1139
613,297,1013,0.5625,1167
691,340,1013,0.25,1229
727,322,1013,0.25,1144
691,314,1013,0.375,990
758,308,1013,0.3125,1217
678,333,1013,0.375,1214
742,330,1013,0.3125,1153
598,320,1013,0.3125,1130
784,270,1013,0.4375,1098
632,313,1013,0.1875,1241
694,314,1013,0.4375,1095
672,340,1013,0.25,1060
598,346,1013,0.3125,1148
770,326,1013,0.25,1133
713,319,1013,0.375,1156
690,360,1013,0.1875,1201
713,321,1013,0.375,1140
556,308,1013,0.3125,1056
666,306,1013,0.5,1070
657,290,1013,0.4375,1242
754,317,1013,0.375,1094
