average_degree,qiskit_dense,merging_states,qiskit,pairwise_swap
0.25,2353,994,2036,3205
0.375,2118,959,2036,3187
0.40625,2314,1056,2036,3486
0.28125,2253,991,2036,3331
0.40625,2338,971,2036,3374
0.46875,2619,998,2036,3369
0.40625,2526,985,2036,3364
0.46875,2096,965,2036,3125
0.46875,2330,1010,2036,3236
0.21875,2143,976,2036,3352
0.3125,2140,981,2036,3228
0.4375,1935,947,2036,3370
0.28125,2084,1088,2036,3411
0.15625,2543,1027,2036,3389
0.25,2375,1010,2036,3370
0.25,2322,961,2036,3396
0.40625,2425,982,2036,3326
0.28125,2319,1032,2036,3297
0.375,2111,1011,2036,3240
0.25,2332,975,2036,3181
0.28125,2394,1022,2036,3413
0.21875,2088,1096,2036,3291
0.5,2234,994,2036,3246
0.28125,2370,938,2036,3242
0.28125,2281,1021,2036,3207
0.5625,2144,950,2036,3140
0.375,2530,888,2036,3243
0.3125,2450,1004,2036,3263
0.34375,2462,1018,2036,3256
0.375,2523,984,2036,3436
0.40625,2389,987,2036,3152
0.40625,2289,937,2036,3195
0.21875,2411,1014,2036,3244
0.34375,2478,970,2036,3385
0.28125,2445,929,2036,3284
0.40625,2382,1031,2036,3378
0.375,2445,1022,2036,3329
0.375,2413,983,2036,3367
0.34375,2502,980,2036,3421
0.5625,2390,945,2036,3195
0.3125,2335,945,2036,3320
0.4375,2044,1002,2036,3229
0.40625,2234,953,2036,3338
0.34375,2352,956,2036,3310
0.21875,2520,1060,2036,3277
0.34375,2186,976,2036,3274
0.375,2238,1047,2036,3305
0.4375,2125,1021,2036,3115
0.4375,2399,1051,2036,3245
0.5,2018,928,2036,3209
0.3125,2267,975,2036,3342
0.40625,2488,1016,2036,3377
0.375,2133,982,2036,3495
0.34375,2252,980,2036,3298
0.28125,2039,1024,2036,3520
0.40625,2522,905,2036,3119
0.3125,2248,1004,2036,3255
0.5,2277,953,2036,3299
0.28125,2306,1074,2036,3373
0.34375,2252,943,2036,3456
0.375,2047,973,2036,3230
0.5,2128,934,2036,3289
0.28125,2172,1081,2036,3243
0.25,2271,1041,2036,3354
0.28125,2642,953,2036,3319
0.53125,2269,1011,2036,3331
0.21875,2470,1004,2036,3367
0.34375,2266,965,2036,3289
0.21875,2306,1027,2036,3354
0.5625,2153,863,2036,3180
0.25,2245,1051,2036,3276
0.25,2404,1044,2036,3279
0.1875,2426,1034,2036,3274
0.46875,2255,966,2036,3325
0.40625,2416,1043,2036,3654
0.40625,2355,965,2036,3182
0.46875,2279,947,2036,3271
0.34375,1982,1048,2036,3451
0.3125,2024,982,2036,3348
0.53125,2382,942,2036,3180
0.1875,2259,1039,2036,3186
0.3125,2014,984,2036,3477
0.5,1967,956,2036,2986
0.4375,1965,1017,2036,3373
0.25,2299,1072,2036,3297
0.34375,2197,982,2036,3391
0.25,2254,1015,2036,3250
0.28125,2169,996,2036,3153
0.3125,2325,1042,2036,3383
0.46875,2425,955,2036,3360
0.34375,2300,963,2036,3297
0.34375,2290,984,2036,3053
0.40625,2198,1030,2036,3089
0.375,2178,1033,2036,3302
0.3125,2493,925,2036,3433
0.3125,2617,1049,2036,3159
0.40625,2516,966,2036,3234
0.125,2313,1049,2036,3245
0.375,2448,1029,2036,3197
0.34375,2466,998,2036,3370
