average_degree,qiskit,merging_states,qiskit_dense
0.5,1013,309,860
0.5625,1013,300,674
0.5625,1013,328,662
0.5,1013,345,694
0.1875,1013,314,715
0.25,1013,322,806
0.375,1013,310,660
0.625,1013,295,585
0.125,1013,349,869
0.4375,1013,313,668
0.375,1013,312,782
0.3125,1013,323,515
0.1875,1013,303,753
0.3125,1013,317,746
0.125,1013,353,619
0.5,1013,313,808
0.125,1013,378,783
0.4375,1013,335,608
0.3125,1013,350,650
0.25,1013,307,703
0.4375,1013,293,612
0.3125,1013,348,753
0.375,1013,304,729
0.375,1013,320,527
0.5,1013,304,739
0.125,1013,315,644
0.4375,1013,328,727
0.4375,1013,291,678
0.3125,1013,330,831
0.625,1013,298,627
0.1875,1013,320,712
0.5,1013,309,701
0.125,1013,352,665
0.4375,1013,363,717
0.1875,1013,291,700
0.4375,1013,299,662
0.1875,1013,357,732
0.1875,1013,330,774
0.3125,1013,301,725
0.3125,1013,303,656
0.1875,1013,345,803
0.25,1013,346,652
0.25,1013,309,642
0.0,1013,374,645
0.3125,1013,329,716
0.5,1013,303,720
0.125,1013,326,734
0.4375,1013,301,743
0.1875,1013,315,859
0.3125,1013,354,803
0.0625,1013,360,744
0.1875,1013,302,779
0.25,1013,314,704
0.25,1013,349,780
0.3125,1013,296,655
0.125,1013,307,714
0.4375,1013,327,712
0.1875,1013,308,706
0.125,1013,385,766
0.4375,1013,285,811
0.25,1013,291,649
0.5,1013,301,680
0.1875,1013,307,618
0.4375,1013,355,646
0.375,1013,315,562
0.25,1013,337,692
0.6875,1013,319,832
0.25,1013,340,806
0.3125,1013,329,827
0.25,1013,323,774
0.375,1013,341,819
0.0625,1013,326,682
0.3125,1013,322,731
0.3125,1013,343,708
0.25,1013,354,635
0.375,1013,355,741
0.25,1013,312,591
0.5,1013,311,602
0.1875,1013,401,800
0.375,1013,324,680
0.1875,1013,348,739
0.1875,1013,320,672
0.3125,1013,320,779
0.3125,1013,358,700
0.5,1013,323,705
0.25,1013,305,743
0.3125,1013,315,780
0.375,1013,318,630
0.125,1013,349,815
0.5625,1013,316,660
0.1875,1013,299,721
0.5625,1013,305,612
0.25,1013,324,661
0.3125,1013,325,654
0.3125,1013,316,680
0.4375,1013,319,602
0.5625,1013,311,654
0.1875,1013,320,758
0.125,1013,326,730
0.5625,1013,306,741
